id,title,rating,date,body,sentiment,category,satisfied,text
11,Je suis très satisfait de Rakuten que…,5,2024-06-17 00:00:00+00:00,Je suis très satisfait de Rakuten que je considère bien plus attractif que Amazon. Le service client est très réactif et les prix sont très intéressants !,Positive,Customer Service,1,Je suis très satisfait de Rakuten que… Je suis très satisfait de Rakuten que je considère bien plus attractif que Amazon. Le service client est très réactif et les prix sont très intéressants !
12,en toutes confiance ,5,2024-06-27 00:00:00+00:00,"il est bien de redonner vie a toutes objets et lui permettre de circuler dans d'autres mains .c'est se que j'aime  chez Rakuten France .je me sert beaucoup de cette plateforme  pour vendre ou acheter des livres ,cd. Les rapport y sont courtois  et bienveillant .merci a cette belle équipes",Neutral,Uncategorized,1,"en toutes confiance  il est bien de redonner vie a toutes objets et lui permettre de circuler dans d'autres mains .c'est se que j'aime  chez Rakuten France .je me sert beaucoup de cette plateforme  pour vendre ou acheter des livres ,cd. Les rapport y sont courtois  et bienveillant .merci a cette belle équipes"
13,Article envoyé rapidement,5,2024-06-28 00:00:00+00:00,"Article envoyé rapidement, très bien emballé et protégé et conforme à la description faite par le vendeur ! Très satisfait de cette commande !",Positive,Customer Service,1,"Article envoyé rapidement Article envoyé rapidement, très bien emballé et protégé et conforme à la description faite par le vendeur ! Très satisfait de cette commande !"
14,Expédition rapide et les 2 albums reçus…,5,2024-06-27 00:00:00+00:00,"Expédition rapide et les 2 albums reçus sont en excellent état. Je suis très satisfait et je recommande ce vendeur.
Hervé Le ster",Positive,Customer Service,1,"Expédition rapide et les 2 albums reçus… Expédition rapide et les 2 albums reçus sont en excellent état. Je suis très satisfait et je recommande ce vendeur.
Hervé Le ster"
15,Site ergonomique avec un large choix,5,2024-06-12 00:00:00+00:00,"Site ergonomique avec un large choix, une très bonne information et une excellente mise en relation client vendeur. ",Positive,Marketplace,1,"Site ergonomique avec un large choix Site ergonomique avec un large choix, une très bonne information et une excellente mise en relation client vendeur. "
16,Oubliez rakuten!,1,2023-10-23 00:00:00+00:00,"Je me décide à émettre l'avis négatif sur ce site qui est en fait incapable de résoudre un simple problème de livraison délictueux (remise du colis sous un faux prétendument signé -merci l'agence tout risque fedex de Marignane...) sans compter le vendeur ( SPAZIOSTOCK),lui même incapable de chercher l'erreur.. fuyez!! J'ai dû faire moi même l'enquête pour parvenir à me faire rembourser 1 mois après un processeur de plus de 400 euros...Amazon est bien plus serviable que en le sera jamais cette plateforme de vente, oubliez rakuten!",Negative,Customer Service,0,"Oubliez rakuten! Je me décide à émettre l'avis négatif sur ce site qui est en fait incapable de résoudre un simple problème de livraison délictueux (remise du colis sous un faux prétendument signé -merci l'agence tout risque fedex de Marignane...) sans compter le vendeur ( SPAZIOSTOCK),lui même incapable de chercher l'erreur.. fuyez!! J'ai dû faire moi même l'enquête pour parvenir à me faire rembourser 1 mois après un processeur de plus de 400 euros...Amazon est bien plus serviable que en le sera jamais cette plateforme de vente, oubliez rakuten!"
17,J’ai passé une commande d’AirPods début…,1,2024-06-06 00:00:00+00:00,"J’ai passé une commande d’AirPods début juin sur le site de Rakuten. Je n’ai jamais été livré. Après avoir émis deux réclamations sur le site de Rakuten ces derniers m’indiquent qu’étant donné que le délai de 14 jours suivant la livraison est passé ils ne traiteront pas mes réclamations. C’est inacceptable, je n’ai jamais été livré! Je vais déposer une plainte auprès de la DGCCRF, la pratique me semble bien huilée pour Rakuten. Attention, ne commandez pas sur leur site.",Negative,Customer Service,0,"J’ai passé une commande d’AirPods début… J’ai passé une commande d’AirPods début juin sur le site de Rakuten. Je n’ai jamais été livré. Après avoir émis deux réclamations sur le site de Rakuten ces derniers m’indiquent qu’étant donné que le délai de 14 jours suivant la livraison est passé ils ne traiteront pas mes réclamations. C’est inacceptable, je n’ai jamais été livré! Je vais déposer une plainte auprès de la DGCCRF, la pratique me semble bien huilée pour Rakuten. Attention, ne commandez pas sur leur site."
18,Avis sur rakuten ,5,2024-06-28 00:00:00+00:00,Je n'ai jamais eu de problème avec rakuten sur mes commandes donc je le recommande à tout le monde sans problème 👍🏻😁,Negative,Customer Service,1,Avis sur rakuten  Je n'ai jamais eu de problème avec rakuten sur mes commandes donc je le recommande à tout le monde sans problème 👍🏻😁
19,Bonne première expérience ,5,2024-06-25 00:00:00+00:00,Article difficile à trouver ! Présent sur Rakuten. Commande et livraison OK.  Bonne première expérience sur ce site,Neutral,Customer Service,1,Bonne première expérience  Article difficile à trouver ! Présent sur Rakuten. Commande et livraison OK.  Bonne première expérience sur ce site
20,Rakuten arnaque et vole ces vendeurs,1,2024-06-27 00:00:00+00:00,"Bonjour en tant que vendeur pendant 6 mois chez Rakuten j'ai vendu pour 300 € de marchandise j'ai du refusé 2 ventes car vendu sur un autre site la même journée, il mon facturé pour 180€ de commission d'annulation .Un prix exorbitant pour des ventes autour de 35€ en moyenne .Expérience atroce chez eux car pas de réponse a mes questions de leur par sur ces tarifs de commission .A banir a tout jamais",Negative,Marketplace,0,"Rakuten arnaque et vole ces vendeurs Bonjour en tant que vendeur pendant 6 mois chez Rakuten j'ai vendu pour 300 € de marchandise j'ai du refusé 2 ventes car vendu sur un autre site la même journée, il mon facturé pour 180€ de commission d'annulation .Un prix exorbitant pour des ventes autour de 35€ en moyenne .Expérience atroce chez eux car pas de réponse a mes questions de leur par sur ces tarifs de commission .A banir a tout jamais"
21,Site strictement franco-français: impossible pour un pays voisin de faire un achat !,1,2024-06-15 00:00:00+00:00,"On déplore totalement l'impossibilité pour un pays voisin de faire un achat sur Rakuten. Il est possible pour un belge de s'inscrire. Mais il est impossible d'acheter. Le site n'intègre pas des transporteurs européens classiques, comme par ex MR. Où est la logique ? A l'heure de l'Europe, il faudrait quand même voir un peu plus loin que la frontière...",Negative,Marketplace,0,"Site strictement franco-français: impossible pour un pays voisin de faire un achat ! On déplore totalement l'impossibilité pour un pays voisin de faire un achat sur Rakuten. Il est possible pour un belge de s'inscrire. Mais il est impossible d'acheter. Le site n'intègre pas des transporteurs européens classiques, comme par ex MR. Où est la logique ? A l'heure de l'Europe, il faudrait quand même voir un peu plus loin que la frontière..."
22,Rakuten respecte toujours ses…,5,2024-06-28 00:00:00+00:00,"Rakuten respecte toujours ses engagements 
Je n'ai jamais été déçu à chaque achat de livres",Negative,Uncategorized,1,"Rakuten respecte toujours ses… Rakuten respecte toujours ses engagements 
Je n'ai jamais été déçu à chaque achat de livres"
23,Un défaut dans l'objectif,1,2024-06-27 00:00:00+00:00,"Un défaut dans l'objectif. Je l'ai signalé hier. Après un échange avec le vendeur, je présume,  il me demande de le lui expédier l'objectif et une fois reçu il me l'echangerait. J'ai appelé un numéro de téléphone qu'il a mis sur Rakuten,  il n'a pas répondu mais il envoie un message avec un numéro de téléphone,  j'appelle ce dernier numéro et le monsieur que j'ai eu au téléphone n'est au courant de rien du tout ",Negative,Electronics,0,"Un défaut dans l'objectif Un défaut dans l'objectif. Je l'ai signalé hier. Après un échange avec le vendeur, je présume,  il me demande de le lui expédier l'objectif et une fois reçu il me l'echangerait. J'ai appelé un numéro de téléphone qu'il a mis sur Rakuten,  il n'a pas répondu mais il envoie un message avec un numéro de téléphone,  j'appelle ce dernier numéro et le monsieur que j'ai eu au téléphone n'est au courant de rien du tout "
24,Très satisfaite,5,2024-06-25 00:00:00+00:00,Commande reçue rapidement. Objets en très bon état. Apprécié le petit cadeau du vendeur. ,Positive,Customer Service,1,Très satisfaite Commande reçue rapidement. Objets en très bon état. Apprécié le petit cadeau du vendeur. 
25,Première expérience catastrophique,1,2024-06-28 00:00:00+00:00,Première expérience catastrophique. Suite à un premier achat les Rakuten point ont mis plus de 6 semaines à arriver (sans aucune notification via application ou mail) et expirent au bout de 30 jours toujours sans aucune information préalable. Je m'en suis rendu compte le jour même de l'expiration et j'ai immédiatement contacté le service client qui n'a rien voulu faire pour ce premier (dernier) achat chez eux. Passez votre chemin tout est fait pour vous entuber avec ces Rakuten points fantaisiste et cachés qui expirent beaucoup plus vite que pour etre crédités,Negative,Customer Service,0,Première expérience catastrophique Première expérience catastrophique. Suite à un premier achat les Rakuten point ont mis plus de 6 semaines à arriver (sans aucune notification via application ou mail) et expirent au bout de 30 jours toujours sans aucune information préalable. Je m'en suis rendu compte le jour même de l'expiration et j'ai immédiatement contacté le service client qui n'a rien voulu faire pour ce premier (dernier) achat chez eux. Passez votre chemin tout est fait pour vous entuber avec ces Rakuten points fantaisiste et cachés qui expirent beaucoup plus vite que pour etre crédités
26,Super ,5,2024-06-27 00:00:00+00:00,"Envoi rapide
Portable en parfait état....aspect neuf aucun défaut...100%batterie
Très content ",Positive,Shipping,1,"Super  Envoi rapide
Portable en parfait état....aspect neuf aucun défaut...100%batterie
Très content "
27,Superbe…,5,2024-06-27 00:00:00+00:00,Tous les articles en parfait état...rapide...des petits mots gentils accompagnant ceux ci,Positive,Marketplace,1,Superbe… Tous les articles en parfait état...rapide...des petits mots gentils accompagnant ceux ci
28,Première expérience très concluante. ,5,2024-06-27 00:00:00+00:00,"Première expérience pour ma part. Rien à redire. Produit conforme, vendeur sérieux et rapide. Envoi en Belgique. ",Neutral,Shipping,1,"Première expérience très concluante.  Première expérience pour ma part. Rien à redire. Produit conforme, vendeur sérieux et rapide. Envoi en Belgique. "
29,Pouvoir lire beaucoup de livres à moindre frais,5,2024-06-26 00:00:00+00:00,Acheter et revendre des livres d'occasion permet  la lecture à moindre frais. Merci à Rakuten de nous permettre cela. ,Negative,Uncategorized,1,Pouvoir lire beaucoup de livres à moindre frais Acheter et revendre des livres d'occasion permet  la lecture à moindre frais. Merci à Rakuten de nous permettre cela. 
30,Que soit la recherche sur votre page ou…,5,2024-06-26 00:00:00+00:00,"Que soit la recherche sur votre page ou bien la commande et la livraison, de bout en bout tout a été simple, correct et rapide",Positive,Customer Service,1,"Que soit la recherche sur votre page ou… Que soit la recherche sur votre page ou bien la commande et la livraison, de bout en bout tout a été simple, correct et rapide"
31,J'ai commandé 2 livres le même jour…,4,2024-06-27 00:00:00+00:00,"J'ai commandé 2 livres le même jour j'ai reçu le 1er très rapidement mais le 2e a mis plus de temps. Sinon les ouvrages sont en très bon état comme la description ! 
Je recommande car je n'ai jamais eu de problème.
Merci",Negative,Customer Service,1,"J'ai commandé 2 livres le même jour… J'ai commandé 2 livres le même jour j'ai reçu le 1er très rapidement mais le 2e a mis plus de temps. Sinon les ouvrages sont en très bon état comme la description ! 
Je recommande car je n'ai jamais eu de problème.
Merci"
32,Très bien sans mauvaise surprise.,5,2024-06-19 00:00:00+00:00,"C'est pas la première fois que je commande chez vous et je reste toujours satisfait. Délais de livraison un peu plus long cette fois mais produit très bien. Continuez ainsi.
Merci.",Negative,Customer Service,1,"Très bien sans mauvaise surprise. C'est pas la première fois que je commande chez vous et je reste toujours satisfait. Délais de livraison un peu plus long cette fois mais produit très bien. Continuez ainsi.
Merci."
33,Nous avons acheté un téléphone S21…,1,2024-06-27 00:00:00+00:00,"Nous avons acheté un téléphone S21 ultra sur Rakuten chez un pro. L'écran a cessé de fonctionner à la suite d'une mise à jour après 2 mois d'utilisation. La mise à jour ne fonctionnerait pas avec les écrans ayant été remplacé. Le vendeur ne répond pas, il n'est même pas possible de laisser un avis après 2 mois. Rakuten demande à contacter le vendeur et n'intervient pas ...",Negative,Electronics,0,"Nous avons acheté un téléphone S21… Nous avons acheté un téléphone S21 ultra sur Rakuten chez un pro. L'écran a cessé de fonctionner à la suite d'une mise à jour après 2 mois d'utilisation. La mise à jour ne fonctionnerait pas avec les écrans ayant été remplacé. Le vendeur ne répond pas, il n'est même pas possible de laisser un avis après 2 mois. Rakuten demande à contacter le vendeur et n'intervient pas ..."
34,Les articles reçus (livres d'occasion)…,5,2024-06-18 00:00:00+00:00,"Les articles reçus (livres d'occasion) correspondent à la description. Le prix est correct, l'envoi très rapide.",Neutral,Shipping,1,"Les articles reçus (livres d'occasion)… Les articles reçus (livres d'occasion) correspondent à la description. Le prix est correct, l'envoi très rapide."
35,Incorrect ,1,2024-06-26 00:00:00+00:00,"Bonjour, cela fait maintenant 10 jours que je suis en réclamation car j’ai reçu une plaque à induction complètement cassée à la livraison. Pour preuve j’ai envoyé trois fois des photos de la plaque complètement cassée encore dans son emballage d’origine. Je trouve complètement aberrant de ne pas encore avoir été remboursée. ",Negative,Customer Service,0,"Incorrect  Bonjour, cela fait maintenant 10 jours que je suis en réclamation car j’ai reçu une plaque à induction complètement cassée à la livraison. Pour preuve j’ai envoyé trois fois des photos de la plaque complètement cassée encore dans son emballage d’origine. Je trouve complètement aberrant de ne pas encore avoir été remboursée. "
36,Livre reçu en temps et heure annoncés.,5,2024-06-26 00:00:00+00:00,"Livre reçu en temps et heure annoncés.
Livre correspondant à l'annonce. Réception du colis très près de chez moi.",Negative,Shipping,1,"Livre reçu en temps et heure annoncés. Livre reçu en temps et heure annoncés.
Livre correspondant à l'annonce. Réception du colis très près de chez moi."
37,Parfait,5,2024-06-18 00:00:00+00:00,"Toujours très satisfaite de Rakuten. 
Très bon produit avec une housse de protection et une peau de chamois en prime.",Positive,Marketplace,1,"Parfait Toujours très satisfaite de Rakuten. 
Très bon produit avec une housse de protection et une peau de chamois en prime."
38,Rapide et surtout le prix payé edt…,5,2024-06-19 00:00:00+00:00,Rapide et surtout le prix payé edt maintenu en attente de la livraison et satisfaction du client.,Neutral,Customer Service,1,Rapide et surtout le prix payé edt… Rapide et surtout le prix payé edt maintenu en attente de la livraison et satisfaction du client.
39,Je recommande ,5,2024-06-26 00:00:00+00:00,Bon choix de produits à des tarifs raisonnable et avec une livraison rapide. Les Vendeurs semblent sérieux. ,Neutral,Customer Service,1,Je recommande  Bon choix de produits à des tarifs raisonnable et avec une livraison rapide. Les Vendeurs semblent sérieux. 
40,Tout s'est bien passé sur rakuten et…,5,2024-06-18 00:00:00+00:00,Tout s'est bien passé sur rakuten et ils ont toute ma confiance je recommande vivement rakuten 👍👍,Negative,Customer Service,1,Tout s'est bien passé sur rakuten et… Tout s'est bien passé sur rakuten et ils ont toute ma confiance je recommande vivement rakuten 👍👍
41,Produit conforme ,5,2024-06-28 00:00:00+00:00,"Livraison rapide, en bon état, produit conforme à la description de l’annonce",Neutral,Shipping,1,"Produit conforme  Livraison rapide, en bon état, produit conforme à la description de l’annonce"
42,Parfait ,5,2024-06-26 00:00:00+00:00,"Facilitées de passer la commande, du contact avec le vendeur, de régler.
Livraison soignée et rapide en 2 jours ! ",Neutral,Customer Service,1,"Parfait  Facilitées de passer la commande, du contact avec le vendeur, de régler.
Livraison soignée et rapide en 2 jours ! "
43,EFFICACE ,5,2024-06-19 00:00:00+00:00,"Je trouve rapidement le titre recherché et en bon état , livraison rapide ",Neutral,Shipping,1,"EFFICACE  Je trouve rapidement le titre recherché et en bon état , livraison rapide "
44,Stock pas toujours actualisé,5,2024-06-26 00:00:00+00:00,"Après avoir commandé une TV en très bon état quo d'est avéré non disponible par le vendeur 3 jours après. J'ai commandé une TV neuve que j'ai bien reçue.
",Negative,Electronics,1,"Stock pas toujours actualisé Après avoir commandé une TV en très bon état quo d'est avéré non disponible par le vendeur 3 jours après. J'ai commandé une TV neuve que j'ai bien reçue.
"
45,Transaction facile et rapide,5,2024-06-18 00:00:00+00:00,"Transaction facile et rapide, les vendeurs sont fiables et sérieux, les modes de paiements sont avantageux",Neutral,Uncategorized,1,"Transaction facile et rapide Transaction facile et rapide, les vendeurs sont fiables et sérieux, les modes de paiements sont avantageux"
46,"Très bon site ,pas de problème…",5,2024-06-27 00:00:00+00:00,"Très bon site ,pas de problème d'échanges avec le vendeur.livraison impeccable. 
Rien à redire. ",Negative,Customer Service,1,"Très bon site ,pas de problème… Très bon site ,pas de problème d'échanges avec le vendeur.livraison impeccable. 
Rien à redire. "
47,Très satisfait de ma dernière commande,5,2024-06-27 00:00:00+00:00,"Très satisfait de ma dernière commande, livrée rapidement, en très bon état. Je recommande volontiers",Positive,Customer Service,1,"Très satisfait de ma dernière commande Très satisfait de ma dernière commande, livrée rapidement, en très bon état. Je recommande volontiers"
48,Livraison rapide et en bon état,5,2024-06-27 00:00:00+00:00,Livraison rapide et en bon état. Bonne affaire. Téléphone tout neuf au prix de l'occasion. Merci ,Positive,Electronics,1,Livraison rapide et en bon état Livraison rapide et en bon état. Bonne affaire. Téléphone tout neuf au prix de l'occasion. Merci 
49,Achat d un livre trouvé sur le site…,5,2024-06-27 00:00:00+00:00,Achat d un livre trouvé sur le site facilement et reçu rapidement ,Neutral,Marketplace,1,Achat d un livre trouvé sur le site… Achat d un livre trouvé sur le site facilement et reçu rapidement 
50,Produit conforme,5,2024-06-19 00:00:00+00:00,"Produit conforme, envoi et réception rapides, efficacité. Rien à redire je recommande Rakuten pour les produits d’occasion ",Neutral,Customer Service,1,"Produit conforme Produit conforme, envoi et réception rapides, efficacité. Rien à redire je recommande Rakuten pour les produits d’occasion "
51,Sérieux,5,2024-06-27 00:00:00+00:00,"Site sérieux pour l'achat que j'ai eu à faire.
J'y reviendrai très probablement pour un prochain achat.",Negative,Marketplace,1,"Sérieux Site sérieux pour l'achat que j'ai eu à faire.
J'y reviendrai très probablement pour un prochain achat."
52,Le systeme des Rakutens Points est…,2,2024-06-28 00:00:00+00:00,"Le systeme des Rakutens Points est devenu ridicule. Plus aucun interet à ce site.
Des frais supplementaires pour les achats d’occasion…
1% de points pour les produits Apple ou de grande marque.
0% meme dans certains cas.

Il est loin le temps des 5 a 7% minimum.",Negative,Marketplace,0,"Le systeme des Rakutens Points est… Le systeme des Rakutens Points est devenu ridicule. Plus aucun interet à ce site.
Des frais supplementaires pour les achats d’occasion…
1% de points pour les produits Apple ou de grande marque.
0% meme dans certains cas.

Il est loin le temps des 5 a 7% minimum."
53,Tres facile pour commander chez…,5,2024-06-26 00:00:00+00:00,"Tres facile pour commander chez differents vendeurs , ainsi que pour le paiement .",Negative,Customer Service,1,"Tres facile pour commander chez… Tres facile pour commander chez differents vendeurs , ainsi que pour le paiement ."
54,Très satisfait ,5,2024-06-26 00:00:00+00:00,"Très compliqué de donner un avis mais tout c’est déroulé sublimement , très très satisfait ",Neutral,Uncategorized,1,"Très satisfait  Très compliqué de donner un avis mais tout c’est déroulé sublimement , très très satisfait "
55,Produits qu'on ne trouve pas ailleurs.,5,2024-06-27 00:00:00+00:00,"Produits qu'on ne trouve pas ailleurs.
Interface conviviale et intuitive.",Negative,Marketplace,1,"Produits qu'on ne trouve pas ailleurs. Produits qu'on ne trouve pas ailleurs.
Interface conviviale et intuitive."
56,j'ai acheté un réfrigérateur faure et…,5,2024-06-22 00:00:00+00:00,j'ai acheté un réfrigérateur faure et ce fut une super expérience avec un vendeur très professionnel !!,Neutral,Uncategorized,1,j'ai acheté un réfrigérateur faure et… j'ai acheté un réfrigérateur faure et ce fut une super expérience avec un vendeur très professionnel !!
57,Béquille!,5,2024-06-17 00:00:00+00:00,"Rakuten sécurise les achats, intermédiaire avec les vendeurs. Réactif à nos requêtes. C'est parfait!",Neutral,Uncategorized,1,"Béquille! Rakuten sécurise les achats, intermédiaire avec les vendeurs. Réactif à nos requêtes. C'est parfait!"
58,Colis en très bon état  et à temps,4,2024-06-18 00:00:00+00:00,"Colis en très bon état, envoi et distribution à temps. Je le referais si l'occasion se présente.",Negative,Shipping,1,"Colis en très bon état  et à temps Colis en très bon état, envoi et distribution à temps. Je le referais si l'occasion se présente."
59,J'ai voulu utiliser mon porte monnaie…,1,2024-06-28 00:00:00+00:00,"J'ai voulu utiliser mon porte monnaie pour la première fois, mais c'est impossible car la date de naissance n'est pas reconnue, et impossible de la modifier..",Negative,Uncategorized,0,"J'ai voulu utiliser mon porte monnaie… J'ai voulu utiliser mon porte monnaie pour la première fois, mais c'est impossible car la date de naissance n'est pas reconnue, et impossible de la modifier.."
60,Produit livré rapidement,5,2024-06-28 00:00:00+00:00,"Produit livré rapidement, bien emballé et en bon état. Parfait !",Positive,Shipping,1,"Produit livré rapidement Produit livré rapidement, bien emballé et en bon état. Parfait !"
61,Bien ,5,2024-06-28 00:00:00+00:00,"C'est juste que tout s'est passé normalement, sans problème !",Negative,Customer Service,1,"Bien  C'est juste que tout s'est passé normalement, sans problème !"
62,J ai trouve ce que je cherchais,5,2024-06-27 00:00:00+00:00,"J ai trouve ce que je cherchais a un prix raisonnable
Le site est facile d utilisation ",Negative,Marketplace,1,"J ai trouve ce que je cherchais J ai trouve ce que je cherchais a un prix raisonnable
Le site est facile d utilisation "
63,Nickel ,5,2024-06-26 00:00:00+00:00,"J'adore ce site. J'y chercher et j'y trouve toujours ce que je veux, à des prix vraiment intéressant.
Je n'ai jamais été déçu de mes achats.",Negative,Marketplace,1,"Nickel  J'adore ce site. J'y chercher et j'y trouve toujours ce que je veux, à des prix vraiment intéressant.
Je n'ai jamais été déçu de mes achats."
64,j'ai très bien recu ma commande et je suis très très satisfaite de ma commande! merci a vous,5,2024-06-28 00:00:00+00:00,"j'ai très bien recu ma commande, bien emballé, et la colle est parfaite! je suis très satisfaite de ma commande! merci a vous",Positive,Customer Service,1,"j'ai très bien recu ma commande et je suis très très satisfaite de ma commande! merci a vous j'ai très bien recu ma commande, bien emballé, et la colle est parfaite! je suis très satisfaite de ma commande! merci a vous"
65,Envoi rapide pas de problème,5,2024-06-27 00:00:00+00:00,"Envoi rapide pas de problème, appareil bien en relation de son prix.",Negative,Customer Service,1,"Envoi rapide pas de problème Envoi rapide pas de problème, appareil bien en relation de son prix."
66,Excellent ,5,2024-06-19 00:00:00+00:00,Service de qualité de la commande jusqu'à la livraison et le fonctionnement du logiciel. Merci,Neutral,Customer Service,1,Excellent  Service de qualité de la commande jusqu'à la livraison et le fonctionnement du logiciel. Merci
67,Mon avis,5,2024-06-27 00:00:00+00:00,Client depuis plus de vingt ans  très satisfait jamais de soucis que des bonnes affaires .j'adore ,Neutral,Uncategorized,1,Mon avis Client depuis plus de vingt ans  très satisfait jamais de soucis que des bonnes affaires .j'adore 
68,CD reçu ,5,2024-06-28 00:00:00+00:00,"CD reçu rapidement très bien emballé et en très bon état
",Positive,Uncategorized,1,"CD reçu  CD reçu rapidement très bien emballé et en très bon état
"
69,Tout s'est déroulé exactement comme…,5,2024-06-28 00:00:00+00:00,Tout s'est déroulé exactement comme prévu prix + délai. Impécable!,Negative,Shipping,1,Tout s'est déroulé exactement comme… Tout s'est déroulé exactement comme prévu prix + délai. Impécable!
70,Rapidité d'expédition ,5,2024-06-26 00:00:00+00:00,"Rapidité d'expédition 
C'est mon premier achat mais j'en suis très satisfaite.",Neutral,Shipping,1,"Rapidité d'expédition  Rapidité d'expédition 
C'est mon premier achat mais j'en suis très satisfaite."
71,Article conforme à mon attente,5,2024-06-19 00:00:00+00:00,Article conforme à mon attente. Livraison super rapide.,Positive,Shipping,1,Article conforme à mon attente Article conforme à mon attente. Livraison super rapide.
72,Produits de qualité et ex livraison dans…,5,2024-06-27 00:00:00+00:00,"Produits de qualité et livraison dans les meilleurs délais
",Negative,Shipping,1,"Produits de qualité et ex livraison dans… Produits de qualité et livraison dans les meilleurs délais
"
73,très satisfaite :,5,2024-06-27 00:00:00+00:00,"très satisfaite :
colis fragile bien enveloppé dans le colis
colis arrivé rapidement au point relais",Positive,Shipping,1,"très satisfaite : très satisfaite :
colis fragile bien enveloppé dans le colis
colis arrivé rapidement au point relais"
