title,rating,date,body,sentiment,category,month_year,satisfied
Très bonne communication et très bon…,5,2024-06-14 00:00:00,Très bonne communication et très bon suivi de la prise de commande à la livraison,Positive,Customer Service,2024-06,1
Achat d'un téléphone OnePlus 8T neuf,1,2024-05-01 00:00:00,"Achat d'un téléphone OnePlus 8T neuf, 1 mois de délais de livraison, le chargeur n'est pas la version européenne. C'est sensé être la version global mais impossible de capter la 4G, bien que le téléphone soit neuf la batterie ne dure pas une journée et surtout le microphone ne fonctionne pas correctement.
J'ai une forte suspicion que ce soit en fait un produit reconditionné.
J'espère bien qu'ils vont me rembourser le téléphone mais après 1 mois d'attente et J ai du acheter une coque de protection et des écrans en verre pour rien.",Negative,Electronics,2024-05,0
j'ai commandé un intel i7 chez…,1,2024-05-29 00:00:00,"j'ai commandé un intel i7 chez rueducommerce via un prestataire italien. Le prix etait anormalement attractif. j'ai reçu un message comme quoi il y avait une erreur dans la commande (en fait ils avaient envoyé un I5). j'ai refusé le colis arrivé par porteur special, mais il a fallu attendre son retour pour être remboursé. Donc pas d'I7. au dela de ça, la sous-traitance avec des boites pas fiables (Bestdigit.it)  plombe les clients. A part des excuses bidons de RdC, le sous-traitant continue de proposer des processeurs qu'il n'a probablement pas. A eviter absolumment, pour ma part, je n'acheterai plus rien chez RdC.",Positive,Customer Service,2024-05,0
Les colis n'arrivent pas ...,1,2024-06-01 00:00:00,"Bonjour, j'ai commandé à deux reprises chez eux, la première fois pour un pc qui est arrivé avec un retard supérieur à 3 semaines, et maintenant la deuxième fois pour une chaise qui elle n'est jamais arrivé et dont le remboursement est impossible. 

N'espérez même pas avoir un retour de leurs services clients, car ils ne font rien pour savoir où est votre colis ou même vous donner de la visibilité.

Je ne peux que déconseiller a quiconque de commander sur site sauf si vous avez la patience et l'envie de jeter l'argent par les fenêtres. ",Negative,Customer Service,2024-06,0
Bonne affaire ,5,2024-05-22 00:00:00,"Bon expérience d'achat  à tous les niveaux,commande facile, envoi rapide.....
Carte graphique reconditionné, comme neuve, à un prix attractif.",Positive,Customer Service,2024-05,1
Première et dernière fois chez eux ,1,2024-05-31 00:00:00,"Commande d'un pc le 31/05 pour une livraison prévue le 06/06. Aucune nouvelle, pas de message. Commande censée être ""expédiée"" mais pour Chronopost le colis est encore en préparation chez RDC. J'ai contacté par le formulaire et par whatsapp on me dit la même chose ""nous allons relancer l'équipe de montage"". En attendant l'argent vous l'avez eu et moi le produit je ne l'ai pas !",Positive,Customer Service,2024-05,0
Toujours aussi performant rue du…,5,2024-06-14 00:00:00,Toujours aussi performant rue du commerce  je recommande ,Positive,Customer Service,2024-06,1
Jamais plus ,1,2024-06-03 00:00:00,"Une blague...
Un virement de 1500€ de fait pour 2 ordis, on ose demander une carte d'identité pour envoyer la commande soit disant par sécurité alors que l'argent est sur leur compte depuis plusieurs jours.
Leur système est tellement nullissime qu'il ose dire que la carte d'identité n'est pas valable alors que si, puis demande un passeport qu'on a pas et ensuite le permis de conduire?! Non mais c'est quoi ce site à la noix de coco là?? quel manque total de professionnalisme. La livraison des ordis n'est toujours pas lancée alors que c'est urgent et le plus agaçant c'est qu'ils ont l'agent depuis plus d'une semaine. Arnaque??? Plus jamais je ne commanderai quoi que ce soit sur ce site qui n'est clairement pas fiable et qui prenne les utilisateurs pour des lapins de 6 semaines.. Lamentable ",Positive,Customer Service,2024-06,0
Rue du Commerce n'usurpe pas son nom.,5,2024-05-28 00:00:00,"Il est difficile de se procurer des articles précis, surtout en photographie et souvent à des prix prohibitifs. Avec Rue du Commerce, l'expérience est agréable sur un site bien achalandé, donc avec les produits que je recherche spécifiquement et à des prix sans concurrence. Bravo et continuez !",Positive,Marketplace,2024-05,1
très bon processeur,5,2024-05-06 00:00:00,"RAS avec Rue du commerce plusieurs commandes sans soucis,  achat d'un 7800x3d, très bon processeur, acheté pour du gaming ( c'est le meilleur de la catégorie ) par contre en applicatif, c'est bien mais il ne faudrait pas moins... consomme peu, chauffe pas mal ( atteint facilement des pointes a 80° mais tourne en jeu entre 60 et 70+), prévoir un bon aio/ventirad",Positive,Customer Service,2024-05,1
Après une mauvaise expérience…,5,2024-05-24 00:00:00,"Après une mauvaise expérience concernant une carte graphique ZOTAC 4090 RTX, grâce à l'intervention de PIERRE seul vendeur ayant tenu compte de ce problème après des mois de patience avec un matériel dysfonctionnant m'a proposé un échange d'une nouvelle carte graphique MSI 4090 par le biais d'un avoir de la somme dépensée (2100€) qui a été rapidement livrée. J'ai commencé à jouer récemment pour le moment aucun problème j'ai quand même dû acheter un support adéquat à part pour supporter la carte graphique. Le geste commercial est appréciable. ",Positive,Customer Service,2024-05,1
à fuir !!!,1,2024-05-30 00:00:00,"Je suis très déçu par mon expérience. Le livreur ne s'est pas présenté le jour de la livraison. De plus, le site n'a pas été capable de me fournir des informations claires et précises concernant la livraison. Pour couronner le tout, les appels au service client sont surtaxés, ce qui est inacceptable. Un service client incompétent, une logistique déplorable, et des coûts supplémentaires injustifiés. Je ne recommande absolument pas.

Édit (08/06) : Après 10 jours sans solution, si j'avais pu mettre 0 étoile, je l'aurais fait ! Un service client robotisé, qui répond la même chose à chaque fois et qui fait traîner le client de 48 à 72 heures à chaque appel !",Positive,Customer Service,2024-05,0
Mon expérience avec Rue du Commerce a…,1,2024-05-14 00:00:00,"Mon expérience avec Rue du Commerce a été décevante. Après avoir passé commande, j'ai dû attendre une semaine seulement pour qu'ils annulent ma commande en raison d'une rupture de stock. Cela montre un manque d'efficacité dans leur gestion des stocks et une communication insatisfaisante avec les clients. En tant que client, c'est frustrant de compter sur un produit pour finalement être laissé sans solution.",Positive,Customer Service,2024-05,0
J'ai acheté un fer à cheveux Dyson qui…,5,2024-05-23 00:00:00,"J'ai acheté un fer à cheveux Dyson qui est tombé en panne 2 ans après l'achat sur un partenaire de rue du commerce. Dyson m'a signalé et détruit l'article après avoir constaté que c'était une contrefaçon. Je me suis retourné contre rue du commerce qui après avoir vérifié m'a confirmé que c'était une contrefaçon et m'a remboursé intégralement (2ans après l'achat). Le suivi par mail a été parfait : un mail tous les 48h pour me préciser l'avancée du dossier jusqu'au remboursement lui aussi 48h après le dernier mail. 
Bravo à eux. Si tous les sites étaient comme eux.  ",Positive,Customer Service,2024-05,1
AUCUN  SERVICE  APRES  VENTE     j  ai …,1,2024-05-01 00:00:00,AUCUN  SERVICE  APRES  VENTE     j  ai  acheté  un  appareil  photo  numerique      apres 11  mois  il  tombe  en  panne    je  contacte  le   SAV   on  me  dit  qu  il  n  est  plus  sous  garantie   et   que  je  dois   l  envoyer a  CANON  FRANCE    A   MES  FRAIS      VOILA  LE  SAV     DE  RUE  DU  COMMERCE     jamais  plus    AUCUN  ACHAT  CHEZ  EUX     FUYEZ      VOUS  ACHETEZ  UN  PRIX            APRES  DEMERDEZ  VOUS  ................C  EST  DU  VECU     pas  un  racontar  !!!!    ,Neutral,Customer Service,2024-05,0
suppression impossible d'un compte Rue du commerce,1,2024-05-26 00:00:00,"Il est impossible de supprimer soi-même un compte Rue du Commerce. Il faut appeler un numéro surtaxé 
0 892 46 56 66 (0.60€/min)  et il n'y a pas d'adresse e mail pour le faire. Ou bien il faut leur envoyer une lettre en recommandé avec accusé de réception. C'est inadmissible de s'emparer des données des clients sans qu'ils puissent supprimer eux-mêmes leur compte. ",Negative,Customer Service,2024-05,0
du commerce au top ,5,2024-06-12 00:00:00,"Bonjour je partage ma dernières expérience sur le site rue du commerce  livraison ultra rapide d'une tv oled 65 "" reçu en moins de 24 h après la commande le prix aussi était très intéressant pour cette tv dernière génération RDC ET LG AU TOP !!!",Positive,Electronics,2024-06,1
Article manquant dans ma commande ,1,2024-06-06 00:00:00,"Article manquant dans ma commande, service client par messagerie qui ne répond pas. Par téléphone j'en parle même pas j'ai essayé de les joindre + de 15 fois a chaque fois on me raccroche au nez au bout de 5 min car personne de disponible. Une honte.",Neutral,Electronics,2024-06,0
Encore une expérience décevante encore !,1,2024-05-07 00:00:00,"Encore une expérience décevante !

Une commande expédiée 6 jours après la commande après un mail de notre part. Réceptionnée 16 jours après, incomplète. 48h d'attente pour savoir ce qu'il en est suite à nos appels au service clientèle inefficace. Surprise!!! un deuxième colis est en route. Il n'avait jamais été stipulé que nous attendions un second colis ""colis qui est bloqué quelque part"". 
Bref 2 eme commande et deuxième expérience négative. A fuir",Neutral,Customer Service,2024-05,0
Site de confiance ,5,2024-05-27 00:00:00,Enseigne très sérieuse avec des prix attractifs. Envoi hyper rapide. Je recommande fortement ce site.,Positive,Customer Service,2024-05,1
Aller chercher en prenant un taxi un…,4,2024-05-17 00:00:00,"Aller chercher en prenant un taxi un lourd colis à la poste aidé d'un cady n'a rien de folichon avec 16 euros déboursés  en plus ...
Certains transporteurs ( très  peu) ne font pas le boulot ,au détriment de l'acheteur ...
Choisissez bien votre transporteur svp !!!",Positive,Shipping,2024-05,1
Impossible d'annuler une commande en 2024...,1,2024-06-14 00:00:00,"FUYEZ, PAUVRE FOUS !!! RueDuCommerce, les cancres de la vente en ligne !!
La version courte : chez RueDuCommerce, ON NE PEUT PAS ANNULER une commande, même s'ils ne tiennent pas le délai de livraison annoncé.
La version longue : j'ai commandée le 01/05 des pièces dont j'avais besoin pour le 07/05. Livraison annoncée pour le 04/05.
Le 06/05, la commande n'étant toujours pas expédiée, je vais acheter ces pièces en magasin, puis je tente d'annuler ma commande.
Et là, stupeur, je ne peux pas l'annuler, soit-disant parce qu'elle est ""en cours de préparation"".
Le même jour je reçois un mail m'indiquant qu'un retard est à prévoir sur ma commande car ils sont débordés par le succès de leur opération ""French Days"".
Je contacte donc le service client à maintes reprises pour leur demander des explications sur cette impossibilité d'annuler, j'insiste pour qu'ils fassent des démarches de leur côté.
C'est non, on me dit qu'il faut que j'attende que la commande soit expédiée, que je refuse le colis à la réception pour qu'il leur revienne et que ce soit considéré comme une rétractation.
Cette commande a été expédiée le 14 mai, elle est donc restée ""en cours de préparation"" pendant 8 jours après ma tentative d'annulation.
Elle a traversé la France, puis est repartie chez RueDuCommerce qui l'a réceptionnée le 22/05.
Il a fallu ensuite qu'ils valident le retour, et qu'ils déclenchent la procédure de remboursement, ""sous 14 jours maximum"".
Je viens d'obtenir mon remboursement aujourd'hui, 14/06, un mois et demi après l'avoir payée !
C'est une aberration complète. Qu'on ne puisse pas annuler une commande préparée et sur le point d'être remise au transporteur, je veux bien.
Mais là on parle d'une commande qui était en attente de préparation, contrairement au statut ""en cours"" qu'ils indiquent.
Il va falloir vous remettre en question RueDuCommerce, vos processus sont dépassés.
Vous prenez en otage vos clients, vous n'avez aucune adaptabilité. Zéro pointé.",Negative,Customer Service,2024-06,0
Même problème que tout les autres…,1,2024-05-16 00:00:00,"Même problème que tout les autres personnes vous commandez il vous donne une date très rapide histoire de vous faire croire qu'il sont aussi compétent que amazon puis ne vous livre pas dans les délais sans aucune raison valable .j'ai demander un remboursement immédiat et une annulation de la commande il et hors de question que j'attende 14 jours ....
Les délais n'ont a aucun moment était respecté une action en justice avec un collectif de clients mécontents leur ferais du bien car ça a tout les signes d'une bande d'escrocs qui joue avec l'argent de leur client .....",Positive,Customer Service,2024-05,0
Très déçu par ”Rue du Commerce”,1,2023-09-15 00:00:00,"Très déçu par ”Rue du Commerce” suite à expérience malheureuse. Par leur biais, j’ai acheté un bateau pneumatique (vendeur espagnol ~800€) qui s’est avéré n’être pas le modèle commandé (à part la longueur).
Il manquait des éléments et la pompe qui accompagnait est arrivée cassée. ”Rue du Commerce” a ignoré mes demandes et j’ai reçu une nouvelle pompe des mois plus tard..!
Ce bateau avait plusieurs pièces décollées, livré sans colle, ainsi que des fuites quasi irréparables.
A ce jour (mai 2024) il ne tient pas la pression et se dégonfle en quelques heures. 
Je ne passerai plus jamais par ”Rue du Commerce” pour faire un achat...!",Neutral,Shipping,2023-09,0
Tienent pas en compte les delais j'ai…,1,2024-05-06 00:00:00,"Tienent pas en compte les delais j'ai passer une commande le 6/05 avec livraison express, toujours en attente commande a plus de 700€ car sois disant le service de logistique essaye de tout leur efforts de l'expédier rapidement.

En attendant l'argent a été pris, mais commande rien du tout.

Plu jamais je commanderai chez eux",Positive,Customer Service,2024-05,0
Pire site d 'ecommerce disponible en…,1,2024-05-14 00:00:00,Pire site d 'ecommerce disponible en France. Achat d'un téléphone le vendeur a annulé ma commande car l'article n'était plus disponible ( bonjour le professionnalisme) j'ai demandé à RDC des explications ils ne m'ont jamais répondu. Pitoyable ! Je ne commanderai plus chez eux et je ne recommande pas,Neutral,Electronics,2024-05,0
2 commandes passées chez RDC,2,2024-05-13 00:00:00,"2 commandes passées chez RDC, deux problèmes dans les livraisons. Je veux bien entendre que ce n’est peut etre pas la faute de RDC, mais en 3 ans rien ne s’est amélioré. Lenteur de préparation des colis, délais de livraisons non tenus. Actuellement mon colis a été « envoyé au mauvais hub » (service client Mondial Relay) et depuis 3 jours plus rien. Aucune date disponible, aucune information, pourtant garantie livré en 2 a 4 jours, et 24h apres expedition (indiqué sur le site RDC). Je ne passerai plus par RDC pour un quelconque achat, trop de galères pour rien. ",Neutral,Customer Service,2024-05,0
Suivi livraison déplorable,1,2024-04-27 00:00:00,"Suivi livraison déplorable.  Appareil photo (1000 €) commandé le 27/04 pour un anniversaire le 18 mai  livraison annoncée entre le 5 et 11 mai. Reçu le 21 mai après la fête d anniversaire. Nombreux échanges avec une plate-forme automatisée dans un 1er temps, puis avec des personnes lambda d une mauvaise foi patente, et qui n apportent aucune solution si ce n est de vous dire de patienter,  que tout est normal. C est la 1ère et la dernière fois que je commande sur ce site. Il en existe de biens meilleurs, beaucoup plus sérieux et fiables. A fuir.",Positive,Customer Service,2024-04,0
J'ai commandé un téléphone à 825 euros…,1,2024-05-22 00:00:00,"J'ai commandé un téléphone à 825 euros et au dernier moment ils n'ont pas accepté la transaction de PayPal et ils me disent de recommander, seulement le prix a augmenté de 24€. Site a fuir, pas sérieux. Je n'irai plus chez eux alors faites en autant su vous ne voulez pas être pris pour une poire. ",Neutral,Electronics,2024-05,0
Boite de M .,1,2024-05-01 00:00:00,"Boite de M .
Service apres vente inexistant numero inexistant .
300 balles dans la nature , premiere fois de ma vie que j'entame des demarches judiciaire pour une boite.
Edit; reçu une reponse de rdc. Je donne le benefice du doute si situation resolue je modifierais mon avis.",Neutral,Customer Service,2024-05,0
Produit non reçu,1,2024-05-08 00:00:00,"Produit non reçu. Prétendument déposé devant la porte d'entrée. Pas de livraison en bonne et due forme. Autorisation de dépôt jamais donnée. Frais d'envoi express payés, mais envoyé normalement par UPS Standard. Pas de marchandise et je dois maintenant trouver un moyen de récupérer mon argent. Aucune recommandation !",Negative,Shipping,2024-05,0
Suite à mon article sur ce site,1,2024-03-13 00:00:00,"Suite à mon article sur ce site, Rue du Commerce (Site marchand ""PARTENAIRE"" Vintron) m'a recontacté il y a 3 mois puis m'a tanné des mêmes questions qu'ils me posent depuis près de 1 an. J'ai cru qu'ils allaient au moins faire un geste commercial puisqu'ils ne peuvent pas se permettre de reconnaître l'ampleur de leurs escroqueries et bien non. Ils ont noyé le poisson pendant un trimestre pour me répondre :
""Bonjour,
Alors tu ne vois pas ce que nous voulons dire ? tout comme ce que propose Rue du commerce, un échange ne peut pas se faire.""
Je ne visais que Vintron jusqu'à maintenant mais il faut bien reconnaître  que Rue du Commerce est purement et simplement complice des arnaques de son ""partenaire"" Vintron. Je vous déconseille vivement de passer par ce site pour acheter quoi que ce soit. Il y a bien assez d'autres sites, qui méritent bien mieux que Rue du Commerce que de continuer à nourrir cette bande d'escrocs sans scrupule. ",Neutral,Customer Service,2024-03,0
SAV incompétent,1,2024-06-12 00:00:00,"SAV incompétent et qui abime les retours

J'ai récemment acheté une carte mère AM5 pour upgrader mon PC.

La commande et l'expédition se passent bien.

J'assemble le PC et là au premier démarrage rien ne se passe. Après avoir investigué il s'avère qu'un pin sur les 1718 du socket processeur est abimé.

Je me dis pas de chance mais ça peut arriver, j'initie donc un retour SAV depuis mon espace client comme le site me le permet. Je précise bien pourquoi je renvoie, fais toutes les photos demandées et je reçois les instructions par mail avec tous les documents dont l'étiquette prépayée pour le retour.
Et j'expédie le retour le lendemain matin.

Plusieurs jours après je reçois un email de RDC pour m'informer qu'ils ne peuvent pas accepter mon retour parce qu'il y un pin de tordu sur le socket et aussi un pin sur le header audio ... (header que je n'ai absolument pas du tout abimé car une fois le problème identifié chez moi, j'ai tout remballé en faisant très attention à ne rien abimé).

J'ai tout de suite contacté le SAV par téléphone en expliquant la situation, que j'ai justement renvoyé la carte mère car il y avait un pin de tordu et que ça ne peut clairement pas venir de moi car si j'avais fait une mauvaise manipulation, j'en aurais tordu plus qu'un sur les 1718. Et que le pin du header audio n'était pas de mon fait.

Deux jours plus tard, j'ai enfin eu une réponse après les avoir également contacté sur Twitter, ou je me vois expliquer qu'il ne s'agit pas d'une panne mais d'un défaut physique et que c'est une procédure totalement différente de la panne, et du coup je dois leur transmettre une étiquette de retour pour qu'ils me renvoient la carte mère.

J'ai bien insisté pour leur demander de transformer ma demande en défaut physique, mais ils ne peuvent rien faire.

Le service client est nul et la prochaine je passerais ma commande sur un site qui a vrai service client.

EDIT : Après la réponse de RDC, je n'ai causé aucun dommage après la livraison du produit, vous m'avez livré un produit endommagé et vous l'avez abimé suite à mon retour. Merci d'appliquer la garantie légale de conformité et de me rembourser puisque vous êtes responsable de m'avoir livré un produit endommagé.",Neutral,Electronics,2024-06,0
Faites attention quand attention au prix vous commandez…,1,2024-05-10 00:00:00,Faites attention quand vous commandez comparez bien les prix partout j'ai acheté récemment une tablette tactile 250 € la retrouve une semaine après à 140 € en magasin alors faites très attention comparé bien les prix à gauche et à droite parce que là c'est énorme quand même 110 € de différence,Neutral,Electronics,2024-05,0
Satisfait,5,2024-05-18 00:00:00,"Je commande chez RDC depuis 2005, je n'ai jamais eu aucun problème que ce soit au niveau produit ou livraison malgré les différents rachats. Dernière commande respectée sur le délais de livraison et produit parfait. Je recommande",Positive,Customer Service,2024-05,1
Je vais honnête j'avais entendu…,5,2024-04-11 00:00:00,"Je vais honnête j'avais entendu beaucoup de choses négatives sur le SAV de ce site mais après un premier écran arrivé cassé, j'ai eu peur que ce soit l'enfer mais tout a été parfaitement réglé par message après preuves et vérifications. quelques jours après j'ai reçu mon écran en parfait état... Merci au SAV. Je recommanderai avec plaisir après cette expérience positive...",Positive,Customer Service,2024-04,1
LE PIRE SAV QUE J'AI JAMAIS VU !!!!!,1,2024-03-01 00:00:00,"LE PIRE SAV QUE J'AI JAMAIS VU !!!!!
j'ai commander sur rue du commerce un composant pour mon ordinateur et une semaine plus tard je me rend compte que le composant n'est pas compatible, ma carte mère B650 supporte de la DDR5 et j'ai acheter de la DDR4, je n'ai meme pas pris la peine d'ouvrir la boite, la ram étais encore sous blister.
j'ai fais ma demande seulement une semaine apres avoir recu mon colis et le SAV me dis que le délais de renvoie est trop tard. J'ai vécu cette éxperience il y a 2 mois et je ne compte PLUS JAMAIS acheter sur se site et déconseille tout mes proche d'acheter sur se site.
NE VOUS FIEZ PAS AU REPONSE DE RUE DU COMMERCE SUR TRUSTEPILOT, il essaye juste de donner une bonne image d'eux alors que c'est des arnaqeur ",Neutral,Electronics,2024-03,0
Préparation d’une lenteur…,1,2024-05-05 00:00:00,"Merci de me comprendre parce que ça fais plus d’une semaine que c’est en préparation et j’en ai assez d’attendre, j’aimerai bien au moins avoir une date pour pouvoir me fixer… J’ai quand même dépenser très cher chez vous et avec une livraison rapide quoi.
Et aussi personne ne me répond quand j’envoie des messages, oh si à part me demander d’attendre mais combien de temps encore ? J’espère qu’ils auront bientôt finis de le préparer, parce que plus d’une semaine c’est un emballage de luxe que vous me faites là !
C’est vraiment triste qu’on soit autant à attendre chaque jour un « miracle » et surtout la déception…

10 jours après que la commande ait été acceptée en préparation je n’ai toujours aucune nouvelle de quand je pourrais être livrée… Et à ce jour la commande est devenue vraiment urgente..",Neutral,Customer Service,2024-05,0
Comment rendre volontairement difficile la clôture d'un compte,1,2024-04-11 00:00:00,"Vous avez des méthodes douteuses :

Je cite : "" Fermer son compte Rue du Commerce :

Vous pouvez supprimer définitivement votre compte en téléphonant au service client, ou bien en envoyant votre demande par courrier en lettre recommandée avec accusé de réception, en précisant votre numéro de client ou votre adresse mail de connexion.""

Pour rappel, la loi exige "".. de fournir un moyen simple et accessible de se désinscrire"" (!)",Positive,Customer Service,2024-04,0
