id,title,rating,date,body,sentiment,category,satisfied
27,Professionnel honnête compétant et très…,5,2023-08-01 00:00:00+00:00,"Professionnel honnête compétant et très agréable.
Je recommande fortement.
Je suis très contente de la transaction.",Neutral,Uncategorized,1
28,J'aime la rapidité des réponses,3,2023-05-31 00:00:00+00:00,"J'aime la rapidité des réponses, la rapidité de livraison

Dommage que je n'ai pu tester l'article avant parce que le levier que j'ai acheté n'est pas compatible avec mon scooter.",Neutral,Uncategorized,0
29,marchandises bien reçue produit…,5,2023-06-26 00:00:00+00:00,marchandises bien reçue produit conforme et délai tenu service parfait avec li verna,Neutral,Uncategorized,1
30,J'achète régulièrement sur ce site et…,5,2024-01-13 00:00:00+00:00,"J'achète régulièrement sur ce site et je suis très satisfait. facilité de navigation, fournisseurs très disponible et des prix très avantageux.",Neutral,Uncategorized,1
31,Bonjour j’ai fait une commande avec mon…,1,2024-06-04 00:00:00+00:00,Bonjour j’ai fait une commande avec mon portable payements avec PayPal avec le fournisseur Lily fan d’allibaba .le fournisseur m’a dit qu’il ne peut pas envoyer le colis à l’île de la Réunion.j’ai fait une demande le 30 avril de remboursement jusqu’à maintenant je l’est pas eu mon argent alors je voudrais savoir comment faire merci ,Neutral,Uncategorized,0
32,La conversation a été simple,5,2023-03-25 00:00:00+00:00,"La conversation a été simple, le processus de commande aussi, je suis satisfait et j'atteste que c'est fiable",Neutral,Uncategorized,1
33,Entreprise sérieuse !,5,2023-05-19 00:00:00+00:00,"Produits recu dans les temps et conforme aux exigences de mon client.
Je recommande cette entreprise chinoise.",Neutral,Uncategorized,1
34,taille très petit 2xl=L,5,2024-01-18 00:00:00+00:00,Bonne qualité mais pas assez chaud pour les hivers Canadiens.,Neutral,Uncategorized,1
35,Mauvais site,1,2024-05-29 00:00:00+00:00,"Bons prix , ça ne sert a rien puisqu'il est impossible de commander !
Interressé par un boitier photo Canon,on me demande mon wathsapp : je n.ai pas .
 C'est une reponse ""robot"" qui renvoie toujours la même demande ,aucun lien d'achat direct c'est encore cette foutue union européenne qui nous emmerde ......
ADIEU ALIBABA  JE SUPPRIME CETTE APLICATION  INUTILE.....",Negative,Uncategorized,0
36,Première expérience d achat sur Alibaba.com…,5,2023-01-08 05:00:00+00:00,Première expérience d achat sur  Alibaba.com. Pièce  reçu vite et parfaitement comme décris. Très  satisfait.Merci,Neutral,Uncategorized,1
37,GOOD EXPERIENCE,5,2024-04-12 00:00:00+00:00,"Reageant, quality and services are very good",Positive,Uncategorized,1
38,Super entreprise !,5,2023-09-12 00:00:00+00:00,"Toute la marchandise est conforme à la commande. C'est parfait !
Très bonne entreprise! Je recommande !",Neutral,Uncategorized,1
39,The products are of excellent quality,5,2023-05-30 00:00:00+00:00,The products are of excellent quality. The customer service is very nice and very responsive,Positive,Uncategorized,1
40,PARFAIT PDT COMME JE LE VOULAIS,5,2023-05-22 00:00:00+00:00,"PARFAIT PDT COMME JE LE VOULAIS , livraison rapide ,tres bien emballe",Neutral,Uncategorized,1
41,La rapidité et la conformité des…,5,2024-05-25 00:00:00+00:00,La rapidité et la conformité des articles commandés ,Neutral,Uncategorized,1
42,Site tres bien un peu long la livraison…,4,2023-09-09 00:00:00+00:00,Site tres bien un peu long la livraison mais les tarifs sont bas donc ça va je recommande,Negative,Uncategorized,1
43,Trade assurance d'Alibaba = ARNAQUE,1,2024-05-02 00:00:00+00:00,"La plateforme Alibaba vend sa prestation Trade assurance pour sécuriser les transactions en cas de conflit avec les vendeurs. C'est du vol, en cas de conflit il ferme le ticket. Vous avez les coordonnées des fournisseurs, alors traités en direct, vous économiserez 10% sur vos achats. Nous passons plus de 100 000 € de commande par an sur plusieurs fournisseurs et il est inutile de passer par leur service totalement inutile. ",Positive,Uncategorized,0
44,Magnifique,5,2023-05-17 00:00:00+00:00,Je recommande ce fournisseur fortement ! Sérieux et produit sans aucun problème ! Magnifique,Neutral,Uncategorized,1
45,quality professional of your staff,5,2023-05-24 00:00:00+00:00,"quality professional of your staff
guide and advice you",Positive,Uncategorized,1
46,Merci beaucoup pour cette belle…,5,2024-05-02 00:00:00+00:00,"Merci beaucoup pour cette belle collaboration  🤩
",Neutral,Uncategorized,1
47,la qualité du produit au top.,5,2023-05-11 00:00:00+00:00,"la qualité du produit au top.
Service professionnel et super réactif",Positive,Uncategorized,1
48,Très bonne expérience achat,5,2023-10-26 00:00:00+00:00,"Très bonne expérience achat, je recommande",Neutral,Uncategorized,1
49,Very good quality of products,5,2024-04-15 00:00:00+00:00,"Very good quality of products
Good communication",Positive,Uncategorized,1
50,Merci,5,2023-09-30 00:00:00+00:00,Merci. Alibaba très pratique et facile à utiliser,Neutral,Uncategorized,1
51,La livraison semble très longue.,5,2022-12-29 00:00:00+00:00,La livraison semble très longue mais dû à la distance entre la Chine et la France.,Neutral,Uncategorized,1
52,Arnaque plus de 10 000 de marchandise…,1,2024-05-06 00:00:00+00:00,Arnaque plus de 10 000 de marchandise perdue. Le produit est mal conditionné et certains lot ne fonctionne pas. Malgré les preuves videos et la réclamation. Alibaba donne raison au vendeur incroyable. Je ne recommande pas. C'est du vol.,Neutral,Uncategorized,0
53,Interlocuteur fiable et de bons…,5,2023-06-17 00:00:00+00:00,Interlocuteur fiable et de bons conseilles,Neutral,Uncategorized,1
54,Achat très rapide et fiable,5,2023-06-10 00:00:00+00:00,"Achat très rapide et fiable, colis bien protégé",Neutral,Uncategorized,1
55,service de livraison respecte le delai,5,2024-01-09 00:00:00+00:00,service de livraison respecte le delai,Neutral,Uncategorized,1
56,Very good seller,5,2023-01-03 23:00:00+00:00,"Very good seller, the material corresponds exactly to what I had ordered.",Positive,Uncategorized,1
57,Produit fallacieux ,1,2024-03-13 00:00:00+00:00,"Bonsoir, j'ai acheté un smartphone sur le site Alibaba ,je vis en France mais après quelques semaines le smartphone en question ne fonctionne plus il ne s'allume même plus je leurs ai envoyé mail dans lequel je demande un échange mais malheureusement ils ne m'ont pas encore répondu, je vais attendre quelques jours et je vais aller en justice, si quelqu'un peut me renseigner .   Merci ",Neutral,Uncategorized,0
58,Respecte les délais.,5,2023-11-20 00:00:00+00:00,"Respecte les délais.
Très sérieux",Neutral,Uncategorized,1
59,Je suis content du service fourni,4,2023-07-06 00:00:00+00:00,"Je suis content du service fourni. La commande a été traitée à temps, selon le contrat.",Neutral,Uncategorized,1
60,Shipping fast and very good quality…,5,2023-06-04 00:00:00+00:00,Shipping fast and very good quality product,Positive,Uncategorized,1
61,I am satisfied with the quality,5,2023-03-24 00:00:00+00:00,I am satisfied with the quality,Positive,Uncategorized,1
62,Livraison rapide.,5,2023-11-20 00:00:00+00:00,"Livraison rapide.
- compréhension
- pas de complication entre nous
- Merci",Neutral,Uncategorized,1
63,Je suis très fière de moi,5,2022-03-17 00:00:00+00:00,J'ai appris beaucoup de chose en si peu de temps sur alibaba,Neutral,Uncategorized,1
64,rapide et honnete prix tres correct,5,2023-09-14 00:00:00+00:00,rapide et honnete prix tres correct,Neutral,Uncategorized,1
65,Good communication with the seller,5,2023-09-18 00:00:00+00:00,Good communication with the seller. He takes care of customer satisfaction,Positive,Uncategorized,1
66,service qualité,5,2023-06-22 00:00:00+00:00,service qualité,Neutral,Uncategorized,1
67,Je suis très satisfait du service de Alibaba,5,,Je suis très satisfait du service D'Alibaba! Malgré 1 fournisseur que je ne suis pas du tout content car ils m'ont vendu un produit qui n'était pas conforme à la description du produit! ça fait une année que j'attends la mise à jour du produit et ça commence à faire long car l'appareil je ne peux pas l'utilise !!! Mais si non je vais continuer à commander sur Alibaba et je ferais attention à ce que je commande. MERCI ALIBABA.,Negative,Uncategorized,1
68,Exactly what I was looking for,5,2023-03-01 00:00:00+00:00,Exactly what I was looking for,Positive,Uncategorized,1
69,Very good Dealer,5,2023-01-25 00:00:00+00:00,"Very good Dealer, Good quality",Positive,Uncategorized,1
70,Great Experience,5,2023-11-06 00:00:00+00:00,Easy to communicate and have a great selection of colors and materials ...,Positive,Uncategorized,1
71,Bon fournissuer,5,2023-11-03 00:00:00+00:00,Très belle expérience,Neutral,Uncategorized,1
72,Un retard important et pas d'information,1,2024-01-12 00:00:00+00:00,"Montre commandée le 13 janvier, livrable, au plus tard, le 30 janvier.
Remise au transporteur le 16 janvier.
Depuis, plus une nouvelle.
Le service de relation avec la clientèle n'a que des réponses dilatoires.
Il faut ...attendre.
Je ne rachèterai rien chez Aliexpress, et je recommanderai à mon entourage d'éviter cette plateforme.",Neutral,Uncategorized,0
73,Trés Professionel,5,2023-12-05 00:00:00+00:00,"Trés Professionel, produit de bonne qualité",Neutral,Uncategorized,1
74,Très professionnel,5,2023-03-08 00:00:00+00:00,Tout a été parfait du début à la fin. Très professionnel.,Neutral,Uncategorized,1
75,Delai de livraison tres bon,3,2022-11-08 00:00:00+00:00,"Delai de livraison tres bon

Qualité des pieces très bonnes , mais il manque des sacs avec pieces dans le colis",Positive,Uncategorized,0
76,Avec Alibaba c'est magique,5,,"Avec Alibaba c'est magique et je le crois sincèrement.
Peut être qu'il faut améliorer la communication et le multilinguisme, Anglais, Français, arabe et russe.
Pour les chinois le problème ne se pose pas hhh.",Neutral,Uncategorized,1
77,j'ai commandé une paire de Baskets…,1,2023-02-14 00:00:00+00:00,j'ai commandé une paire de Baskets Columbia j'ai été débité immédiatement et j'ai reçu 14 jours apres un petit paquet contenant une bague soit disant Rodier en toc que je n'ai pas demandé. je n'arrete pas de demandé le remboursement . de plus tout est en Anglais  .je pense qu ils portent bien leur nom,Neutral,Uncategorized,0
78,"J’ai passé une commande 1200€,j’ai pas…",1,2023-12-29 00:00:00+00:00,"J’ai passé une commande 1200€,j’ai pas reçu ma commande et fournisseur ne veut pas ma rembourser.l’équipe Ali baba ne bouge pas.
Le fournisseur :Anhui kebang Electrical Technology Co,Ltd",Neutral,Uncategorized,0
79,Livraison et service client nullissime,1,2022-10-25 00:00:00+00:00,"Très déçu, ma commande de 350€ a été livrée à une mauvaise adresse, la société de livraison le confirme. Après plusieurs litiges, le site estime que c'est de ma faute si le livreur s'est trompé de numéro, de rue et de ville. Ils ont eu même le culot de me demander de faire du porte à porte pour retrouver le colis sans savoir dans quelle ville le colis a atterri. Simplement scandaleux",Neutral,Books,0
80,Service et produits défectueux,1,2023-04-07 00:00:00+00:00,"J'ai fait 2 tentatives avec Alibaba :
. 42 jours pour récupérer mes commandes, avec difficulté, la 1ère fois
. des produits (cartes SD) défectueux la seconde fois
J'ai depuis renoncé à Alibaba",Neutral,Uncategorized,0
81,je recommande Alibaba pour sécuriser la relation client,5,,"Service de paiement paypal sécuriser, assurance ok ‎S’il y a un problème avec votre commande, demandez un remboursement dans les 30 jours suivant la livraison du produit.‎",Positive,Uncategorized,1
82,Juste malhonnêtes...,1,2023-01-19 23:00:00+00:00,"Juste malhonnêtes...
J'achète un abonnement d'un an, qui ne fonctionne plus au bout de deux mois. Le vendeur ne répond pas, et quand je contacte Alibaba ils ""sont désolés"" mais ne peuvent rien faire car le délai de 30 jours après livraison est passé. Ca ne les dérange donc pas d'héberger des voleurs.",Neutral,Uncategorized,0
83,I am satisfied,5,2024-03-06 00:00:00+00:00,I am satisfied ,Positive,Uncategorized,1
84,Suite a une commande chez aliexpress…,1,2022-11-02 00:00:00+00:00,"Suite a une commande chez aliexpress début novembre 2022, voici bientôt 6 mois que je suis en communication avec eux; le colis ayant été livré d’après eux. Après avoir reconnu le problème ils m'ont demandé de patienter, a chacune de mes relances ils me demande de leur réexpliquer le problème et m'annonce faire le nécessaire!!!! ARNAQUE / VOL",Neutral,Uncategorized,0
85,"J'ai commandé un article ,recu dans un…",1,2023-06-17 00:00:00+00:00,"J'ai commandé un article ,recu dans un etat pitoyable, pas fonctionnel ,le vendeur m'a dit qu'il m'en réexpédiait un autre donc je n'ai pas commencée un litige et comme le colis n'arrivait pas j'ai compris l'arnaque et il était trop tard pour entreprendre un litige ou un remboursement, j'ai donc dépensée 242 euros pour rien !!! Ils m'ont fait patienté un mois et au bout de ce délais, m'ont bloqué la messagerie !! Ce sont des voleurs !!",Neutral,Uncategorized,0
86,fournisseur exceptionnel Qingdao Noblest Hair Products,5,,"fournisseur exceptionnel, très à l'écoute et très professionnel, je suis très satis faite, je recommande vivement Qingdao Noblest Hair Products sur ALIBABA.",Neutral,Uncategorized,1
87,Vendeur au top,5,2023-12-07 00:00:00+00:00,"Vendeur au top, professionnel et marchandise impeccable.",Positive,Uncategorized,1
88,Excellente gestion de sinistre.,4,2022-08-13 00:00:00+00:00,"J'ai commandé un produit qui est arrivé plus vite que prévu... à 850 km de chez moi.
La Faute à UPS, ou à l'expéditeur , car confusion de n° de suivi?
J'ai fait réclamation avant hier sur Alibaba.com. 
Hier j'avais des mails m'indiquant les remboursements à venir (HT + TVA) ... 
Et ce matin ma banque est créditée des 2 montants!.  Il me reste à repasser commande du même produit. 
(Dito précédente commande qui fonctionne très bien ) 

Alibaba sait assumer les bugs relatifs à cette chaîne commerciale,... et vous répond. (ce qui ne fut pas le cas d'Ama.... lorsque j'ai été piraté pour plus de 450 $ il y a 2 ans...) 
Comme 98% des produits sont aujourd’hui fabriqués en Chine, mieux vaut privilégier une chaîne commerciale chinoise, en attendant l'ouverture de la Route de la soie.
Je recommande",Positive,Uncategorized,1
89,Problème avec une commande,1,2023-04-19 00:00:00+00:00,"Problème avec une commande dont j'ai demandé le remboursement. Le vendeur me propose 0.19euros sur les 40 euros que j'avais payés et me dit qu'il ne comprend pas pourquoi la robe ne me convient pas car les photos que je lui ai envoyées correspondent au produit. Problème: j'ai commandé des ceintures et n'ai envoyé aucune photo????
Le site n'est pas du tout clair et la communication avec les vendeurs très compliquée, je ne commanderai plus chez eux",Neutral,Uncategorized,0
90,service super rapide et éfficace merci…,5,2023-01-03 23:00:00+00:00,service super rapide et éfficace merci beaucoup,Positive,Uncategorized,1
91,compétence et aimabilité,5,2022-12-13 23:00:00+00:00,la disponibilité des vendeurs dans mes demandes.,Neutral,Uncategorized,1
92,Voila un site qui porte bien son nom…,1,2022-12-22 23:00:00+00:00,"Voila un site qui porte bien son nom Ali Baba à rapprocher des quarantes voleurs du conte.
Vendeurs qui font de la publicité mensongères et/ou qui n'envoient qu'une partie de la commande.
Une pince à sertir SN48 commandée avec une fois des cosses ; j'ai reçu les cosses et jamais la pince.  Avec le second vendeur pour obtenir la même pince je n'ai reçu que 2 petites mâchoires. Aucune discussion possible ni avec  ALI BABA ni avec les quarante voleurs. Pour eux j'ai reçu mon colis et bien entendu tout en anglais.  Résultat j'ai payé en 2 commandes ce que j'aurais payé sur des sites connus mais sans avoir mon outil A FUIR",Neutral,Uncategorized,0
93,Very good order,5,2023-11-20 00:00:00+00:00,"Very good order, price and delay.",Positive,Uncategorized,1
94,Depuis que j'ai commence a faire mes…,4,,"Depuis que j'ai commence a faire mes achats sur Alibaba ca fait 3 ans aujourd'hui, je suis pleinement satisfaite de la qualité de cette application.
Merci a toute l'équipe.",Neutral,Uncategorized,1
95,Ce sont des voleurs.,1,2022-11-01 23:00:00+00:00,"Ce sont des voleurs.
Ils imposent de payer des taxes aux acheteurs lorsqu'ils savent parfaitement qu'ils ne doivent pas les prendre pour des commandes de plus de 150€.
Le pays destinataire préleve les taxes pour un tel montant.
Et ensuite, ils demandent des milliers de documents pour rembourser ces taxes injustement perçues, pour finalement ne pas les rembourser!
Du coup vous payez les taxes 2 fois et n'avez aucun recours, ils volent simplement cet argent.
Mon comptable m'a expliqué que ce problème est récurrent avec ce site!
Mieux vaut acheter en Europe un oeu plus cher, finalement c'est meilleur marché qu'alibaba et vous sauverez du temps et des nerfs!",Neutral,Uncategorized,0
96,Thanks,5,2023-11-17 00:00:00+00:00,Thanks ! Sam has been very helpful,Positive,Uncategorized,1
97,boite à bijoux,5,2022-11-29 23:00:00+00:00,"rapide, pro, amical",Neutral,Uncategorized,1
98,Good,5,2023-03-31 00:00:00+00:00,"ok, good transaction",Positive,Uncategorized,1
99,Première commande.,1,2023-02-04 23:00:00+00:00,"Première commande.
3 mois avant la réception d'une tondeuse qui a fonctionné qu'une journée.
2ème  commande  2 mois d'attente.
On me dit que j'ai reçu la commande alors que je n'ai réceptionné aucun colis.
Plus jamais",Neutral,Uncategorized,0
100,Achat d'un produit ssd m2.,1,2023-07-06 00:00:00+00:00,"Achat d'un produit ssd m2.
Le produit bien été réceptionné mais ils promettent un stockage de 16 TO la ou il en a que 60 go dans une carte sd.
Les vendeur ont mis une carte sd dans une puce électronique pour feinter le pc et lui faire afficher le débit voulu. Pour ne pas être découvert ils ferment leur ssd dans de l’aluminium collé impossible à ouvrir sans scié l'alluminium.",Negative,Uncategorized,0
101,Pas cher oui mais 500€ de livraison !,1,2023-10-21 00:00:00+00:00,"Pas cher, oui jusqu'au moment où on doit parler des frais de livraison ! Par exemple, je suis en train de me doter d'une machine à coudre industrielle : prix sur un site internet très fréquemment utilisé en France environ 800€
La même machine chez eux : 450€ mais ... Plus de 500 € de livraison !!! Impossible de trouver un moyen de fret abordable, en tout cas pour un simple particulier ! Toutefois j'ai voulu commander un smartphone celui-ci ne prenant pas la même place et ne pesant pas plus de 200g, 150€ mais ... 450€ de livraison !!! J'abandonne et peut être bon pour les entreprises mais pour le particulier : juste inabordable ! Sans compter la garantie etc ... Bref selon moi une belle arnaque",Negative,Uncategorized,0
102,Marchandises non reçues,1,2023-05-24 00:00:00+00:00,"Marchandises non reçues, sois disant livrées, demande faite de bon de livraison signé pour transfert de propriété. Jamais fourni par le vendeur. Décision prise par ALIBABA : Refus de réclamation. Versement conservé et moi client aucun matériel.",Neutral,Uncategorized,0
103,Très bonne application,5,2023-10-27 00:00:00+00:00,Très bonne application,Neutral,Uncategorized,1
104,l 'échange avec le fournisseur a était…,5,,"l 'échange avec le fournisseur a était exemplaire ! 
très bon fournisseur , produit conforme a la description",Neutral,Uncategorized,1
105,tres serviable,5,2023-12-29 00:00:00+00:00,tres serviable,Neutral,Uncategorized,1
106,J'ai commandé une batterie vélo de 48v…,1,2024-01-06 00:00:00+00:00,"J'ai commandé une batterie vélo de 48v que j'ai reçu beaucoup + tard que prévu et qui ne dépasse pas les 27.3 v, j'ai demandé à réexpédier l'article et...pas de nouvelle. C'est un site d'arnaque n'y allez pas.",Neutral,Uncategorized,0
107,Très bon service,5,,"Je suis très satisfaite par les services, livraisons sont rapides, communication est parfaite. Merci beaucoup!",Neutral,Uncategorized,1
108,TOUT MON EXPERIENCE AVEC ALIBABA TRES,5,2022-10-13 00:00:00+00:00,TOUT MON EXPERIENCE AVEC ALIBABA TRES? TRES BIEN!,Neutral,Uncategorized,1
109,Que des voleurs rembourse jamais,1,2023-01-31 23:00:00+00:00,"Que des voleurs rembourse jamais
Colis souvent commander et jamais reçu par que la poste dit  livré, constaté et dépôt de plainte rien y fait , malhonnête Alibaba et Aliexpress a fuir",Neutral,Uncategorized,0
110,site pourri ingérables …à fuir service…,1,2024-02-23 00:00:00+00:00,"site pourri ingérables …à fuir service clientèle du grand n'importe quoi  , ce n'est que du marketing",Positive,Uncategorized,0
111,top produit,5,2023-09-29 00:00:00+00:00,top produit,Positive,Uncategorized,1
112,Défaut dans la qualité du produit du à…,1,2023-12-14 00:00:00+00:00,"Défaut dans la qualité du produit du à la livraison
Service après vente ayant l'art et la manière de vous embobiner et rien ne ce fait
Je déconseille fortement",Neutral,Uncategorized,0
113,Really professionnal company and…,5,2022-10-02 00:00:00+00:00,Really professionnal company and supplier,Positive,Uncategorized,1
