id,title,rating,date,body,sentiment,category,satisfied
12,Catastrophique !  Et même pire.,1,21-06-2024,"J'ai passé deux commandes : un smartphone S24 et une tablette.
J'ai reçu un jeu Tétris des années 2000 en guise de smartphone et la tablette ne s'allume pas !
J'ai donc renvoyé le ""smartphone"" et demandé le remboursement.
Tout s'est correctement passé mais pas de remboursement....
Pour la tablette, j'ai demandé le retour et le remboursement mais au bout de 3 jours, aucune nouvelle.
En me reconnectant (très difficilement) sur le site Alibaba, toutes mes commandes avaient disparues et mon compte était vierge.
En clair, j'ai perdu l'argent correspondant à ces 2 commandes.
Sans compter une ergonomie des plus déplorables du site.

Modification de mon message :
J'ai confondu Alibaba et Aliexpress.
Cela dit, la connexion à Alibaba et à Aliexpress se fait avec le même compte et si, sur les 2 sites, l'ergonomie n'était pas si lamentable, cette confusion aurait pu être limitée.
Je remercie l'interlocuteur de Aliexpress qui, grâce à une relation épistolière, a apporté une promesse de résolution de tous mes problèmes.
A suivre....
",Negative,Electronics,0
13,Je recommande,5,02-01-2023,"Contrairement à d'autres avis, avec bit.ly /Alibaba-download  ma livraison fût rapide. La transaction est sécurisé et ma commande est conforme à la description. Je recommande👍😁",Neutral,Customer Service,1
14,Mon ami mark m'a toujours accompagné a…,5,14-12-2023,Mon ami mark m'a toujours accompagné a distance jusqu'à ce que je reçois mes colis vraiment c'est formidable du courage,Negative,Shipping,1
15,Super entreprise. Très pro et qualité top !,5,04-01-2024,"Je suis enchanté par cette entreprise et leurs produits. 
Livraison rapide, qualité au top et service remarquable. 
Très professionnel !!",Positive,Customer Service,1
16,C'est super vraiment je recommande les…,5,27-02-2024,C'est super vraiment je recommande les tapis l'emballage et les chapelets sont de grande qualité. Top,Positive,Customer Service,1
17,Fabriquant sérieux et je recommande,5,10-01-2024,"Livraison conforme à la commande
Produit de qualité et conceptions demandées respectées et belles
Bon service de communication et disponibilité de mon interlocuteur pendant toute la durée 
Je recommande ce fabriquant",Negative,Customer Service,1
18,Professionnalisme au top,5,23-09-2022,"Professionnalisme au top, pas déçue.
Nous n'hésiterons pas travailler plus souvent ici.",Negative,Marketplace,1
19,l'entreprise m'a livrer des produits de…,5,30-01-2024,l'entreprise m'a livrer des produits de qualité dans un bref délai et à un prix imbattable.,Negative,Shipping,1
20,Trade Assurance Alibaba,1,14-06-2024,"Alibaba pour éviter les arnaques vous informe que toutes vos commandes sont protégées par Trade Assurance
Une garantie de remboursement en cas de litige!
Mais ce n'est pas le cas!
Si vous avez un fournisseur sérieux et honnête, tout se passe bien!
S'il est malhonnête, vous perdez votre argent.
",Negative,Customer Service,0
21,Livraison rapide,5,17-03-2023,J'ai fait une petite commande les articles sont arrivé en 6 jours. Le site est très clair et sécurisés pour les paiement du fournisseurs,Neutral,Customer Service,1
22,Tour à jardin,3,03-09-2023,"Très bon service et suivi de la représentante.
La compagnie a oublié d’inclure des pièces et des instructions de montage et d’utilisation.
Une des lumières ne fonctionne pas et la pompe ne fonctionne pas non plus.
Le transporteur n’a pas pris soin de la boîte et des pièces ont été brisées.
J’aurais préféré qu’on me conseille un produit de qualité supérieure.",Negative,Customer Service,0
23,First order,5,28-02-2024,First order. Everything happened like expected (I will say even better). I will order again.,Negative,Uncategorized,1
24,Je suis très déçu de alibaba,1,11-06-2024,"Je suis très déçu de alibaba, victime d’un arnaque de 1550$ par un fournisseur du nom de Nguyen Michelle qui vend des Maverick et des motos, après avoir lui faire un virement bancaire, il m’a bloqué par la suite. Et j’ai déposé la une plainte contre le fournisseur, Alibaba me répond qu’il ne peuvent pas m’aider à résoudre ce problème. Très déçu je ne vous conseilles pas vraiment ",Negative,Customer Service,0
25,Service de qualité,5,26-09-2023,"Service de qualité, les fournisseurs contactés sont de qualité et s'adaptent à nos besoins. Très bonne expérience",Neutral,Customer Service,1
26,Alibaba est tout simplement super,4,06-07-2023,Alibaba est tout simplement super. J'ai toujours été satisfait. RDV sur leur app pour découvrir le monde de Alibaba bit.ly /3Kd R0nR,Positive,Uncategorized,1
27,Professionnel honnête compétant et très…,5,01-08-2023,"Professionnel honnête compétant et très agréable.
Je recommande fortement.
Je suis très contente de la transaction.",Negative,Customer Service,1
28,J'aime la rapidité des réponses,3,31-05-2023,"J'aime la rapidité des réponses, la rapidité de livraison

Dommage que je n'ai pu tester l'article avant parce que le levier que j'ai acheté n'est pas compatible avec mon scooter.",Negative,Shipping,0
29,marchandises bien reçue produit…,5,26-06-2023,marchandises bien reçue produit conforme et délai tenu service parfait avec li verna,Positive,Customer Service,1
30,J'achète régulièrement sur ce site et…,5,13-01-2024,"J'achète régulièrement sur ce site et je suis très satisfait. facilité de navigation, fournisseurs très disponible et des prix très avantageux.",Neutral,Marketplace,1
31,Bonjour j’ai fait une commande avec mon…,1,04-06-2024,Bonjour j’ai fait une commande avec mon portable payements avec PayPal avec le fournisseur Lily fan d’allibaba .le fournisseur m’a dit qu’il ne peut pas envoyer le colis à l’île de la Réunion.j’ai fait une demande le 30 avril de remboursement jusqu’à maintenant je l’est pas eu mon argent alors je voudrais savoir comment faire merci ,Negative,Customer Service,0
32,La conversation a été simple,5,25-03-2023,"La conversation a été simple, le processus de commande aussi, je suis satisfait et j'atteste que c'est fiable",Neutral,Customer Service,1
33,Entreprise sérieuse !,5,19-05-2023,"Produits recu dans les temps et conforme aux exigences de mon client.
Je recommande cette entreprise chinoise.",Negative,Customer Service,1
34,taille très petit 2xl=L,5,18-01-2024,Bonne qualité mais pas assez chaud pour les hivers Canadiens.,Negative,Uncategorized,1
35,Mauvais site,1,29-05-2024,"Bons prix , ça ne sert a rien puisqu'il est impossible de commander !
Interressé par un boitier photo Canon,on me demande mon wathsapp : je n.ai pas .
 C'est une reponse ""robot"" qui renvoie toujours la même demande ,aucun lien d'achat direct c'est encore cette foutue union européenne qui nous emmerde ......
ADIEU ALIBABA  JE SUPPRIME CETTE APLICATION  INUTILE.....",Negative,Customer Service,0
36,Première expérience d achat sur Alibaba.com…,5,08-01-2023,Première expérience d achat sur  Alibaba.com. Pièce  reçu vite et parfaitement comme décris. Très  satisfait.Merci,Positive,Uncategorized,1
37,GOOD EXPERIENCE,5,12-04-2024,"Reageant, quality and services are very good",Negative,Customer Service,1
38,Super entreprise !,5,12-09-2023,"Toute la marchandise est conforme à la commande. C'est parfait !
Très bonne entreprise! Je recommande !",Positive,Customer Service,1
39,The products are of excellent quality,5,30-05-2023,The products are of excellent quality. The customer service is very nice and very responsive,Neutral,Customer Service,1
40,PARFAIT PDT COMME JE LE VOULAIS,5,22-05-2023,"PARFAIT PDT COMME JE LE VOULAIS , livraison rapide ,tres bien emballe",Positive,Shipping,1
41,La rapidité et la conformité des…,5,25-05-2024,La rapidité et la conformité des articles commandés ,Negative,Marketplace,1
42,Site tres bien un peu long la livraison…,4,09-09-2023,Site tres bien un peu long la livraison mais les tarifs sont bas donc ça va je recommande,Neutral,Customer Service,1
43,Trade assurance d'Alibaba = ARNAQUE,1,02-05-2024,"La plateforme Alibaba vend sa prestation Trade assurance pour sécuriser les transactions en cas de conflit avec les vendeurs. C'est du vol, en cas de conflit il ferme le ticket. Vous avez les coordonnées des fournisseurs, alors traités en direct, vous économiserez 10% sur vos achats. Nous passons plus de 100 000 € de commande par an sur plusieurs fournisseurs et il est inutile de passer par leur service totalement inutile. ",Negative,Customer Service,0
44,Magnifique,5,17-05-2023,Je recommande ce fournisseur fortement ! Sérieux et produit sans aucun problème ! Magnifique,Negative,Customer Service,1
45,quality professional of your staff,5,24-05-2023,"quality professional of your staff
guide and advice you",Negative,Uncategorized,1
46,Merci beaucoup pour cette belle…,5,02-05-2024,"Merci beaucoup pour cette belle collaboration  🤩
",Negative,Uncategorized,1
47,la qualité du produit au top.,5,11-05-2023,"la qualité du produit au top.
Service professionnel et super réactif",Positive,Customer Service,1
48,Très bonne expérience achat,5,26-10-2023,"Très bonne expérience achat, je recommande",Neutral,Customer Service,1
49,Very good quality of products,5,15-04-2024,"Very good quality of products
Good communication",Negative,Uncategorized,1
50,Merci,5,30-09-2023,Merci. Alibaba très pratique et facile à utiliser,Neutral,Uncategorized,1
51,La livraison semble très longue.,5,29-12-2022,La livraison semble très longue mais dû à la distance entre la Chine et la France.,Negative,Shipping,1
52,Arnaque plus de 10 000 de marchandise…,1,06-05-2024,Arnaque plus de 10 000 de marchandise perdue. Le produit est mal conditionné et certains lot ne fonctionne pas. Malgré les preuves videos et la réclamation. Alibaba donne raison au vendeur incroyable. Je ne recommande pas. C'est du vol.,Negative,Customer Service,0
53,Interlocuteur fiable et de bons…,5,17-06-2023,Interlocuteur fiable et de bons conseilles,Negative,Uncategorized,1
54,Achat très rapide et fiable,5,10-06-2023,"Achat très rapide et fiable, colis bien protégé",Positive,Shipping,1
55,service de livraison respecte le delai,5,09-01-2024,service de livraison respecte le delai,Negative,Customer Service,1
56,Very good seller,5,03-01-2023,"Very good seller, the material corresponds exactly to what I had ordered.",Negative,Uncategorized,1
57,Produit fallacieux ,1,13-03-2024,"Bonsoir, j'ai acheté un smartphone sur le site Alibaba ,je vis en France mais après quelques semaines le smartphone en question ne fonctionne plus il ne s'allume même plus je leurs ai envoyé mail dans lequel je demande un échange mais malheureusement ils ne m'ont pas encore répondu, je vais attendre quelques jours et je vais aller en justice, si quelqu'un peut me renseigner .   Merci ",Negative,Electronics,0
58,Respecte les délais.,5,20-11-2023,"Respecte les délais.
Très sérieux",Neutral,Shipping,1
59,Je suis content du service fourni,4,06-07-2023,"Je suis content du service fourni. La commande a été traitée à temps, selon le contrat.",Negative,Customer Service,1
60,Shipping fast and very good quality…,5,04-06-2023,Shipping fast and very good quality product,Negative,Uncategorized,1
61,I am satisfied with the quality,5,24-03-2023,I am satisfied with the quality,Neutral,Uncategorized,1
62,Livraison rapide.,5,20-11-2023,"Livraison rapide.
- compréhension
- pas de complication entre nous
- Merci",Negative,Shipping,1
63,Je suis très fière de moi,5,17-03-2022,J'ai appris beaucoup de chose en si peu de temps sur alibaba,Negative,Uncategorized,1
64,rapide et honnete prix tres correct,5,14-09-2023,rapide et honnete prix tres correct,Neutral,Uncategorized,1
65,Good communication with the seller,5,18-09-2023,Good communication with the seller. He takes care of customer satisfaction,Negative,Customer Service,1
66,service qualité,5,22-06-2023,service qualité,Neutral,Customer Service,1
67,Je suis très satisfait du service de Alibaba,5,,Je suis très satisfait du service D'Alibaba! Malgré 1 fournisseur que je ne suis pas du tout content car ils m'ont vendu un produit qui n'était pas conforme à la description du produit! ça fait une année que j'attends la mise à jour du produit et ça commence à faire long car l'appareil je ne peux pas l'utilise !!! Mais si non je vais continuer à commander sur Alibaba et je ferais attention à ce que je commande. MERCI ALIBABA.,Negative,Customer Service,1
68,Exactly what I was looking for,5,01-03-2023,Exactly what I was looking for,Negative,Uncategorized,1
69,Very good Dealer,5,25-01-2023,"Very good Dealer, Good quality",Neutral,Uncategorized,1
70,Great Experience,5,06-11-2023,Easy to communicate and have a great selection of colors and materials ...,Negative,Uncategorized,1
71,Bon fournissuer,5,03-11-2023,Très belle expérience,Negative,Uncategorized,1
72,Un retard important et pas d'information,1,12-01-2024,"Montre commandée le 13 janvier, livrable, au plus tard, le 30 janvier.
Remise au transporteur le 16 janvier.
Depuis, plus une nouvelle.
Le service de relation avec la clientèle n'a que des réponses dilatoires.
Il faut ...attendre.
Je ne rachèterai rien chez Aliexpress, et je recommanderai à mon entourage d'éviter cette plateforme.",Negative,Customer Service,0
73,Trés Professionel,5,05-12-2023,"Trés Professionel, produit de bonne qualité",Neutral,Marketplace,1
74,Très professionnel,5,08-03-2023,Tout a été parfait du début à la fin. Très professionnel.,Neutral,Uncategorized,1
75,Delai de livraison tres bon,3,08-11-2022,"Delai de livraison tres bon

Qualité des pieces très bonnes , mais il manque des sacs avec pieces dans le colis",Neutral,Shipping,0
76,Avec Alibaba c'est magique,5,,"Avec Alibaba c'est magique et je le crois sincèrement.
Peut être qu'il faut améliorer la communication et le multilinguisme, Anglais, Français, arabe et russe.
Pour les chinois le problème ne se pose pas hhh.",Negative,Customer Service,1
77,j'ai commandé une paire de Baskets…,1,14-02-2023,j'ai commandé une paire de Baskets Columbia j'ai été débité immédiatement et j'ai reçu 14 jours apres un petit paquet contenant une bague soit disant Rodier en toc que je n'ai pas demandé. je n'arrete pas de demandé le remboursement . de plus tout est en Anglais  .je pense qu ils portent bien leur nom,Negative,Customer Service,0
78,"J’ai passé une commande 1200€,j’ai pas…",1,29-12-2023,"J’ai passé une commande 1200€,j’ai pas reçu ma commande et fournisseur ne veut pas ma rembourser.l’équipe Ali baba ne bouge pas.
Le fournisseur :Anhui kebang Electrical Technology Co,Ltd",Negative,Customer Service,0
79,Livraison et service client nullissime,1,25-10-2022,"Très déçu, ma commande de 350€ a été livrée à une mauvaise adresse, la société de livraison le confirme. Après plusieurs litiges, le site estime que c'est de ma faute si le livreur s'est trompé de numéro, de rue et de ville. Ils ont eu même le culot de me demander de faire du porte à porte pour retrouver le colis sans savoir dans quelle ville le colis a atterri. Simplement scandaleux",Negative,Customer Service,0
80,Service et produits défectueux,1,07-04-2023,"J'ai fait 2 tentatives avec Alibaba :
. 42 jours pour récupérer mes commandes, avec difficulté, la 1ère fois
. des produits (cartes SD) défectueux la seconde fois
J'ai depuis renoncé à Alibaba",Negative,Customer Service,0
81,je recommande Alibaba pour sécuriser la relation client,5,,"Service de paiement paypal sécuriser, assurance ok ‎S’il y a un problème avec votre commande, demandez un remboursement dans les 30 jours suivant la livraison du produit.‎",Negative,Customer Service,1
82,Juste malhonnêtes...,1,19-01-2023,"Juste malhonnêtes...
J'achète un abonnement d'un an, qui ne fonctionne plus au bout de deux mois. Le vendeur ne répond pas, et quand je contacte Alibaba ils ""sont désolés"" mais ne peuvent rien faire car le délai de 30 jours après livraison est passé. Ca ne les dérange donc pas d'héberger des voleurs.",Negative,Customer Service,0
83,I am satisfied,5,06-03-2024,I am satisfied ,Neutral,Uncategorized,1
84,Suite a une commande chez aliexpress…,1,02-11-2022,"Suite a une commande chez aliexpress début novembre 2022, voici bientôt 6 mois que je suis en communication avec eux; le colis ayant été livré d’après eux. Après avoir reconnu le problème ils m'ont demandé de patienter, a chacune de mes relances ils me demande de leur réexpliquer le problème et m'annonce faire le nécessaire!!!! ARNAQUE / VOL",Negative,Customer Service,0
85,"J'ai commandé un article ,recu dans un…",1,17-06-2023,"J'ai commandé un article ,recu dans un etat pitoyable, pas fonctionnel ,le vendeur m'a dit qu'il m'en réexpédiait un autre donc je n'ai pas commencée un litige et comme le colis n'arrivait pas j'ai compris l'arnaque et il était trop tard pour entreprendre un litige ou un remboursement, j'ai donc dépensée 242 euros pour rien !!! Ils m'ont fait patienté un mois et au bout de ce délais, m'ont bloqué la messagerie !! Ce sont des voleurs !!",Negative,Customer Service,0
86,fournisseur exceptionnel Qingdao Noblest Hair Products,5,,"fournisseur exceptionnel, très à l'écoute et très professionnel, je suis très satis faite, je recommande vivement Qingdao Noblest Hair Products sur ALIBABA.",Negative,Customer Service,1
87,Vendeur au top,5,07-12-2023,"Vendeur au top, professionnel et marchandise impeccable.",Neutral,Uncategorized,1
88,Excellente gestion de sinistre.,4,13-08-2022,"J'ai commandé un produit qui est arrivé plus vite que prévu... à 850 km de chez moi.
La Faute à UPS, ou à l'expéditeur , car confusion de n° de suivi?
J'ai fait réclamation avant hier sur Alibaba.com. 
Hier j'avais des mails m'indiquant les remboursements à venir (HT + TVA) ... 
Et ce matin ma banque est créditée des 2 montants!.  Il me reste à repasser commande du même produit. 
(Dito précédente commande qui fonctionne très bien ) 

Alibaba sait assumer les bugs relatifs à cette chaîne commerciale,... et vous répond. (ce qui ne fut pas le cas d'Ama.... lorsque j'ai été piraté pour plus de 450 $ il y a 2 ans...) 
Comme 98% des produits sont aujourd’hui fabriqués en Chine, mieux vaut privilégier une chaîne commerciale chinoise, en attendant l'ouverture de la Route de la soie.
Je recommande",Neutral,Electronics,1
89,Problème avec une commande,1,19-04-2023,"Problème avec une commande dont j'ai demandé le remboursement. Le vendeur me propose 0.19euros sur les 40 euros que j'avais payés et me dit qu'il ne comprend pas pourquoi la robe ne me convient pas car les photos que je lui ai envoyées correspondent au produit. Problème: j'ai commandé des ceintures et n'ai envoyé aucune photo????
Le site n'est pas du tout clair et la communication avec les vendeurs très compliquée, je ne commanderai plus chez eux",Negative,Textile,0
90,service super rapide et éfficace merci…,5,03-01-2023,service super rapide et éfficace merci beaucoup,Positive,Customer Service,1
91,compétence et aimabilité,5,13-12-2022,la disponibilité des vendeurs dans mes demandes.,Negative,Uncategorized,1
92,Voila un site qui porte bien son nom…,1,22-12-2022,"Voila un site qui porte bien son nom Ali Baba à rapprocher des quarantes voleurs du conte.
Vendeurs qui font de la publicité mensongères et/ou qui n'envoient qu'une partie de la commande.
Une pince à sertir SN48 commandée avec une fois des cosses ; j'ai reçu les cosses et jamais la pince.  Avec le second vendeur pour obtenir la même pince je n'ai reçu que 2 petites mâchoires. Aucune discussion possible ni avec  ALI BABA ni avec les quarante voleurs. Pour eux j'ai reçu mon colis et bien entendu tout en anglais.  Résultat j'ai payé en 2 commandes ce que j'aurais payé sur des sites connus mais sans avoir mon outil A FUIR",Negative,Customer Service,0
93,Very good order,5,20-11-2023,"Very good order, price and delay.",Negative,Uncategorized,1
94,Depuis que j'ai commence a faire mes…,4,,"Depuis que j'ai commence a faire mes achats sur Alibaba ca fait 3 ans aujourd'hui, je suis pleinement satisfaite de la qualité de cette application.
Merci a toute l'équipe.",Neutral,Uncategorized,1
95,Ce sont des voleurs.,1,01-11-2022,"Ce sont des voleurs.
Ils imposent de payer des taxes aux acheteurs lorsqu'ils savent parfaitement qu'ils ne doivent pas les prendre pour des commandes de plus de 150€.
Le pays destinataire préleve les taxes pour un tel montant.
Et ensuite, ils demandent des milliers de documents pour rembourser ces taxes injustement perçues, pour finalement ne pas les rembourser!
Du coup vous payez les taxes 2 fois et n'avez aucun recours, ils volent simplement cet argent.
Mon comptable m'a expliqué que ce problème est récurrent avec ce site!
Mieux vaut acheter en Europe un oeu plus cher, finalement c'est meilleur marché qu'alibaba et vous sauverez du temps et des nerfs!",Negative,Customer Service,0
96,Thanks,5,17-11-2023,Thanks ! Sam has been very helpful,Negative,Uncategorized,1
97,boite à bijoux,5,29-11-2022,"rapide, pro, amical",Positive,Uncategorized,1
98,Good,5,31-03-2023,"ok, good transaction",Negative,Uncategorized,1
99,Première commande.,1,04-02-2023,"Première commande.
3 mois avant la réception d'une tondeuse qui a fonctionné qu'une journée.
2ème  commande  2 mois d'attente.
On me dit que j'ai reçu la commande alors que je n'ai réceptionné aucun colis.
Plus jamais",Negative,Customer Service,0
100,Achat d'un produit ssd m2.,1,06-07-2023,"Achat d'un produit ssd m2.
Le produit bien été réceptionné mais ils promettent un stockage de 16 TO la ou il en a que 60 go dans une carte sd.
Les vendeur ont mis une carte sd dans une puce électronique pour feinter le pc et lui faire afficher le débit voulu. Pour ne pas être découvert ils ferment leur ssd dans de l’aluminium collé impossible à ouvrir sans scié l'alluminium.",Negative,Marketplace,0
101,Pas cher oui mais 500€ de livraison !,1,21-10-2023,"Pas cher, oui jusqu'au moment où on doit parler des frais de livraison ! Par exemple, je suis en train de me doter d'une machine à coudre industrielle : prix sur un site internet très fréquemment utilisé en France environ 800€
La même machine chez eux : 450€ mais ... Plus de 500 € de livraison !!! Impossible de trouver un moyen de fret abordable, en tout cas pour un simple particulier ! Toutefois j'ai voulu commander un smartphone celui-ci ne prenant pas la même place et ne pesant pas plus de 200g, 150€ mais ... 450€ de livraison !!! J'abandonne et peut être bon pour les entreprises mais pour le particulier : juste inabordable ! Sans compter la garantie etc ... Bref selon moi une belle arnaque",Negative,Electronics,0
102,Marchandises non reçues,1,24-05-2023,"Marchandises non reçues, sois disant livrées, demande faite de bon de livraison signé pour transfert de propriété. Jamais fourni par le vendeur. Décision prise par ALIBABA : Refus de réclamation. Versement conservé et moi client aucun matériel.",Negative,Customer Service,0
103,Très bonne application,5,27-10-2023,Très bonne application,Neutral,Uncategorized,1
104,l 'échange avec le fournisseur a était…,5,,"l 'échange avec le fournisseur a était exemplaire ! 
très bon fournisseur , produit conforme a la description",Negative,Marketplace,1
105,tres serviable,5,29-12-2023,tres serviable,Neutral,Uncategorized,1
106,J'ai commandé une batterie vélo de 48v…,1,06-01-2024,"J'ai commandé une batterie vélo de 48v que j'ai reçu beaucoup + tard que prévu et qui ne dépasse pas les 27.3 v, j'ai demandé à réexpédier l'article et...pas de nouvelle. C'est un site d'arnaque n'y allez pas.",Negative,Marketplace,0
107,Très bon service,5,,"Je suis très satisfaite par les services, livraisons sont rapides, communication est parfaite. Merci beaucoup!",Positive,Customer Service,1
108,TOUT MON EXPERIENCE AVEC ALIBABA TRES,5,13-10-2022,TOUT MON EXPERIENCE AVEC ALIBABA TRES? TRES BIEN!,Neutral,Uncategorized,1
109,Que des voleurs rembourse jamais,1,31-01-2023,"Que des voleurs rembourse jamais
Colis souvent commander et jamais reçu par que la poste dit  livré, constaté et dépôt de plainte rien y fait , malhonnête Alibaba et Aliexpress a fuir",Negative,Customer Service,0
110,site pourri ingérables …à fuir service…,1,23-02-2024,"site pourri ingérables …à fuir service clientèle du grand n'importe quoi  , ce n'est que du marketing",Negative,Customer Service,0
111,top produit,5,29-09-2023,top produit,Positive,Marketplace,1
112,Défaut dans la qualité du produit du à…,1,14-12-2023,"Défaut dans la qualité du produit du à la livraison
Service après vente ayant l'art et la manière de vous embobiner et rien ne ce fait
Je déconseille fortement",Negative,Customer Service,0
113,Really professionnal company and…,5,02-10-2022,Really professionnal company and supplier,Negative,Uncategorized,1
114,good,4,25-04-2023,Good experience with this company,Negative,Uncategorized,1
115,très bon site pleine confiance merci.,4,03-11-2022,très bon site pleine confiance merci.,Negative,Marketplace,1
116,très reactif,5,14-02-2023,"très reactif, je suis satisfait",Positive,Uncategorized,1
117,just top ,5,13-04-2024,just top ! thanks ⭐️⭐️⭐️⭐️⭐️,Neutral,Uncategorized,1
118,c'était bien,4,11-09-2023,c'était bien,Neutral,Uncategorized,1
119,Good experience,5,,It's a good experience. I am very pleased with the order and shipping time.,Negative,Uncategorized,1
120,Produit de qualité,5,,"Produit de qualité, conforme à la description.
Je recommande.",Negative,Customer Service,1
121,Site de confiance élevé,5,01-02-2024,Site de confiance élevé,Negative,Marketplace,1
122,Marco : Achat d’une enceinte JBL,1,20-11-2023,"Je viens d’acheter une enceinte de marque JBL . Après réception , le colis était très abîmé, je me suis aperçu que c ´était une copie et de plus le son était très mauvais . Grosse déception . Il ne faut jamais acheter ce style de produit cher eux .",Negative,Shipping,0
123,Customer experience,5,,Very good experience and easy to use. Good search facility.,Negative,Uncategorized,1
124,très bien,5,05-01-2023,"très bien, bonne experience",Positive,Uncategorized,1
125,Je suis vraiment satisfait de Alibaba…,5,,Je suis vraiment satisfait de Alibaba le service est excellent,Positive,Customer Service,1
126,Facilité des opérations,5,27-03-2023,Facilité des opérations,Negative,Uncategorized,1
127,de vrais charlatans,1,10-02-2023,"commande partiellement reçue.Impossible d'avoir le solde. Pas de SAV fiable. De vrais voleurs
A FUIR NE COMMANDEZ SURTOUT PAS SUR SE SITE",Negative,Customer Service,0
128,Some taxes importation to pay Not…,4,10-09-2022,Some taxes importation to pay Not anticiped.,Negative,Uncategorized,1
