id,title,rating,date,body,sentiment,category,satisfied,text
11,satisfaction entière et pérène,5,2024-06-23 00:00:00+00:00,"je suis une cliente fidèle et pour l'instant tout est impeccable, il m'est arrivée d'avoir un soucis mais le service client est très réactif",Negative,Customer Service,1,"satisfaction entière et pérène je suis une cliente fidèle et pour l'instant tout est impeccable, il m'est arrivée d'avoir un soucis mais le service client est très réactif"
12,produit non conforme,3,2024-06-25 00:00:00+00:00,"bonjour,
les fourchettes étaient en Cdiscount à volonté et des frais de ports m'étaient demandés (plus cher que le produit).
Alors qu'avec Cdiscount à volonté c'est gratuit. Produit mensonger 

Je réponds à C. Discount 
Oui je n’ai pas payé les frais de port sur celles que j’ai commandées car j’ai du prendre une autre référence  à plus de 12€ au lieu de celles à 4,66€ avec C discount à volonté donc frais de port gratuit mais au paiement des frais de port de 5€ s’ajoutaient  

Rebonjour 
Ma commande dépassait le montant minimum pour avoir droit à la livraison gratuite en CDiscount à volonté
Ce n’est pas grave. J’aurai le même produit payé 12€ au lieu de 4€..",Negative,Customer Service,0,"produit non conforme bonjour,
les fourchettes étaient en Cdiscount à volonté et des frais de ports m'étaient demandés (plus cher que le produit).
Alors qu'avec Cdiscount à volonté c'est gratuit. Produit mensonger 

Je réponds à C. Discount 
Oui je n’ai pas payé les frais de port sur celles que j’ai commandées car j’ai du prendre une autre référence  à plus de 12€ au lieu de celles à 4,66€ avec C discount à volonté donc frais de port gratuit mais au paiement des frais de port de 5€ s’ajoutaient  

Rebonjour 
Ma commande dépassait le montant minimum pour avoir droit à la livraison gratuite en CDiscount à volonté
Ce n’est pas grave. J’aurai le même produit payé 12€ au lieu de 4€.."
13,"CHOIX DES PRODUIT, BON PRIX ET RAPIDITE D'EXPEDITION",5,2024-06-26 00:00:00+00:00,"On est face à un large de choix de produits dans toutes les gammes, ces derniers à un bon prix et expédier très rapidement.",Neutral,Marketplace,1,"CHOIX DES PRODUIT, BON PRIX ET RAPIDITE D'EXPEDITION On est face à un large de choix de produits dans toutes les gammes, ces derniers à un bon prix et expédier très rapidement."
14,Moteur de recherche du site,3,2024-06-29 00:00:00+00:00,"Moteur de recherche du site, pour trouver des articles souhaités, plutôt perfectible ",Neutral,Marketplace,0,"Moteur de recherche du site Moteur de recherche du site, pour trouver des articles souhaités, plutôt perfectible "
15,tres bien ,5,2024-06-28 00:00:00+00:00,trd bonne tres reactif si un probleme sur commande et envoi rapidr ,Positive,Customer Service,1,tres bien  trd bonne tres reactif si un probleme sur commande et envoi rapidr 
16,Pratiques malhonnêtes ,1,2024-06-28 00:00:00+00:00,"Pour connaître les frais de livraison Cdiscount rackette au préalable nos coordonnées privées... on trouve les mêmes produits Cdiscount sur les sites chinois mais à 2x moins cher, avec livraison gratuite et surtout de manière beaucoup plus honnête.",Negative,Shipping,0,"Pratiques malhonnêtes  Pour connaître les frais de livraison Cdiscount rackette au préalable nos coordonnées privées... on trouve les mêmes produits Cdiscount sur les sites chinois mais à 2x moins cher, avec livraison gratuite et surtout de manière beaucoup plus honnête."
17,tres satisfaite de CDISCOUNT …,5,2024-06-22 00:00:00+00:00,tres satisfaite de CDISCOUNT tout ce que j'ai commandé et reçu depuis 4 ans  ont été tres satisfaisant je recommande cette STE,Neutral,Customer Service,1,tres satisfaite de CDISCOUNT … tres satisfaite de CDISCOUNT tout ce que j'ai commandé et reçu depuis 4 ans  ont été tres satisfaisant je recommande cette STE
18,Je suis très déçu par la qualité des…,2,2024-06-18 00:00:00+00:00,"Je suis très déçu par la qualité des produits livrés par Cdiscount. Les promotions annoncées sur certains produits sont trompeuses, les prix ne correspondent pas du tout à la qualité des articles reçus. À mon avis, les remises affichées sont fausses et ne reflètent pas une véritable réduction. Je ne recommanderai pas ce site et ne compte plus y effectuer d'achats à l'avenir.",Negative,Customer Service,0,"Je suis très déçu par la qualité des… Je suis très déçu par la qualité des produits livrés par Cdiscount. Les promotions annoncées sur certains produits sont trompeuses, les prix ne correspondent pas du tout à la qualité des articles reçus. À mon avis, les remises affichées sont fausses et ne reflètent pas une véritable réduction. Je ne recommanderai pas ce site et ne compte plus y effectuer d'achats à l'avenir."
19,J'AI UNE GRANDE HABITUDE DE CDISCOUNT…,5,2024-06-26 00:00:00+00:00,J'AI UNE GRANDE HABITUDE DE CDISCOUNT ET TOUT SE PASSE TOUJOURS TRES BIEN ET TRES FACILEMENT,Negative,Uncategorized,1,J'AI UNE GRANDE HABITUDE DE CDISCOUNT… J'AI UNE GRANDE HABITUDE DE CDISCOUNT ET TOUT SE PASSE TOUJOURS TRES BIEN ET TRES FACILEMENT
20,Arnaqueurs!!!,1,2024-06-28 00:00:00+00:00,"Arnaqueurs!!!
J'ai voulu payer un article avec une carte cadeau. Suite à une fausse manip ma commande s'est annulée mais Cdiscount m'a pris l'argent que j'avais dessus ! Ils ont voulu me rembourser en bon d'achat Cdiscount alors qu'il s'agissait d'une carte illicado ! Et le délai annoncé est de 48h alors que j'avais même pas validé ma commande ! Ils gardent votre argent pendant 2 jours et vous devez attendre pour utiliser votre carte !! C'est inadmissible ! Pratique frauduleuse. Le service client ne propose aucune solution et se fiche de vous !! Plus jamais je commanderai sur ce site",Negative,Customer Service,0,"Arnaqueurs!!! Arnaqueurs!!!
J'ai voulu payer un article avec une carte cadeau. Suite à une fausse manip ma commande s'est annulée mais Cdiscount m'a pris l'argent que j'avais dessus ! Ils ont voulu me rembourser en bon d'achat Cdiscount alors qu'il s'agissait d'une carte illicado ! Et le délai annoncé est de 48h alors que j'avais même pas validé ma commande ! Ils gardent votre argent pendant 2 jours et vous devez attendre pour utiliser votre carte !! C'est inadmissible ! Pratique frauduleuse. Le service client ne propose aucune solution et se fiche de vous !! Plus jamais je commanderai sur ce site"
21,il supprime constamment les mauvais commentaires,1,2024-06-29 00:00:00+00:00,"faites attention à ce site et ne prenez pas en compte les notes des produits qu'ils vendent, car ils suppriment majoritairement les avis négatif  !!!

En ce qui me concerne, ils m'ont envoyé un produit contrefait
 (Poudre, capillaire, de marque toppik) que j'ai signalé dans les avis Et qu'ils ont refusé de le mentionner dans les avis ...
Bref Site, qui encourage la vente de contrefaçon !!!!",Negative,Marketplace,0,"il supprime constamment les mauvais commentaires faites attention à ce site et ne prenez pas en compte les notes des produits qu'ils vendent, car ils suppriment majoritairement les avis négatif  !!!

En ce qui me concerne, ils m'ont envoyé un produit contrefait
 (Poudre, capillaire, de marque toppik) que j'ai signalé dans les avis Et qu'ils ont refusé de le mentionner dans les avis ...
Bref Site, qui encourage la vente de contrefaçon !!!!"
22,SITE CLAIR FACILITE DE COMMANDE…,5,2024-06-28 00:00:00+00:00,SITE CLAIR FACILITE DE COMMANDE TOUJOURS DE BONNES AFFAIRES,Neutral,Customer Service,1,SITE CLAIR FACILITE DE COMMANDE… SITE CLAIR FACILITE DE COMMANDE TOUJOURS DE BONNES AFFAIRES
23,a éviter,1,2024-06-26 00:00:00+00:00,"sav inexistant, sert seulement à nous dire qu'il ne peuvent rien faire. mauvais contrôle des revendeurs.
Ne surtout jamais prendre les assurances car vous ne serez jamais indemnisé de quoi que ce soit car ils ont une liste interminables d'excuses.
Je ne rachèterai plus rien sur ce site peut fiable.",Negative,Marketplace,0,"a éviter sav inexistant, sert seulement à nous dire qu'il ne peuvent rien faire. mauvais contrôle des revendeurs.
Ne surtout jamais prendre les assurances car vous ne serez jamais indemnisé de quoi que ce soit car ils ont une liste interminables d'excuses.
Je ne rachèterai plus rien sur ce site peut fiable."
24,Payer pour pouvoir payer !,2,2024-06-04 00:00:00+00:00,"Problème pour enregistrer ma carte de paiement (qui est pourtant une CB Cdiscount Floa). 
La hotline est payante (très cher). L'opérateur reconnait que ce sont là des choses qui arrivent et promet un remboursement des frais d'appel au 3979 (18 minutes !).
Or il n'en est rien. Et il est impossible de joindre Cdiscount gratiuitement ! (ou alors par l'intermédiaire d'un chatBot... qui ne comprend rien à la situation)

J'aurais préféré adresser ce message directement à CDiscount",Negative,Customer Service,0,"Payer pour pouvoir payer ! Problème pour enregistrer ma carte de paiement (qui est pourtant une CB Cdiscount Floa). 
La hotline est payante (très cher). L'opérateur reconnait que ce sont là des choses qui arrivent et promet un remboursement des frais d'appel au 3979 (18 minutes !).
Or il n'en est rien. Et il est impossible de joindre Cdiscount gratiuitement ! (ou alors par l'intermédiaire d'un chatBot... qui ne comprend rien à la situation)

J'aurais préféré adresser ce message directement à CDiscount"
25,parfait,5,2024-06-25 00:00:00+00:00,"on trouve tout a prix abordable. livraison rapide. cashback. 
je suis très satisfaite",Positive,Shipping,1,"parfait on trouve tout a prix abordable. livraison rapide. cashback. 
je suis très satisfaite"
26,Frais de livraison abusifs,1,2024-06-28 00:00:00+00:00,"Je veux passer une commande de 60 € environ et je dois m’acquitter de 24,25 € de frais de livraison, pour un retrait en point relais… c’est clairement abusé ! 
Je suis très déçue et j’éviterai ce site autant que possible à l’avenir…",Negative,Customer Service,0,"Frais de livraison abusifs Je veux passer une commande de 60 € environ et je dois m’acquitter de 24,25 € de frais de livraison, pour un retrait en point relais… c’est clairement abusé ! 
Je suis très déçue et j’éviterai ce site autant que possible à l’avenir…"
27,Une catastrophe,1,2024-06-27 00:00:00+00:00,"J'ai commandé un article précis (bleu) et ce que j'ai reçu ne correspond pas à l'article que j'ai commandé (noir). CDISCOUNT a envoyé le mauvais article. Cet article est volumineux et CDISCOUNT refuse de prendre en charge le retour via un livreur. Je dois me débrouiller, m'organiser pour faire face à leur incompétence crasse en plus de devoir avancer les frais de retour. PLUS JAMAIS CDISCOUNT.",Negative,Shipping,0,"Une catastrophe J'ai commandé un article précis (bleu) et ce que j'ai reçu ne correspond pas à l'article que j'ai commandé (noir). CDISCOUNT a envoyé le mauvais article. Cet article est volumineux et CDISCOUNT refuse de prendre en charge le retour via un livreur. Je dois me débrouiller, m'organiser pour faire face à leur incompétence crasse en plus de devoir avancer les frais de retour. PLUS JAMAIS CDISCOUNT."
28,cliente depuis de nombreuses années,5,2024-06-07 00:00:00+00:00,"cliente depuis de nombreuses années, j'ai pu constater que les bons prix se trouvent souvent chez Cdiscount.
Produits de qualité et livraison rapide. Seul bémol, le livreur DPD ne respecte pas tjrs les consignes de livraison",Negative,Shipping,1,"cliente depuis de nombreuses années cliente depuis de nombreuses années, j'ai pu constater que les bons prix se trouvent souvent chez Cdiscount.
Produits de qualité et livraison rapide. Seul bémol, le livreur DPD ne respecte pas tjrs les consignes de livraison"
29,Je DÉCONSEILLE.,1,2024-06-28 00:00:00+00:00,"Je DÉCONSEILLE.
Produit non livré 
Pièces manquantes dans le colis 
Impossible de se faire rembourser
Cdiscount se dédouane et n’intervient pas pour résoudre le problème avec le vendeur sur la plate-forme market place",Negative,Customer Service,0,"Je DÉCONSEILLE. Je DÉCONSEILLE.
Produit non livré 
Pièces manquantes dans le colis 
Impossible de se faire rembourser
Cdiscount se dédouane et n’intervient pas pour résoudre le problème avec le vendeur sur la plate-forme market place"
30,Aucun mail ou SMS de la part de…,1,2024-06-27 00:00:00+00:00,"Aucun mail ou SMS de la part de Cdiscount ou du transporteur confirmant la livraison du colis au point relais du coup le colis est reparti chez Cdiscount au bout d'une semaine


Le colis était disponible dans un relais pick-up, 
Le casier était uniquement accessible avec un code d'accès que je n'ai eu ni de Cdiscount ni du transporteur.
J'ai souvent commandé chez vous , j'ai toujours eu un mail du transporteur pour confirmer la livraison.
Votre transporteur à visiblement un problème de communication 
",Negative,Customer Service,0,"Aucun mail ou SMS de la part de… Aucun mail ou SMS de la part de Cdiscount ou du transporteur confirmant la livraison du colis au point relais du coup le colis est reparti chez Cdiscount au bout d'une semaine


Le colis était disponible dans un relais pick-up, 
Le casier était uniquement accessible avec un code d'accès que je n'ai eu ni de Cdiscount ni du transporteur.
J'ai souvent commandé chez vous , j'ai toujours eu un mail du transporteur pour confirmer la livraison.
Votre transporteur à visiblement un problème de communication 
"
31,j'aime commandé sur Cdiscount j'ai…,5,2024-06-22 00:00:00+00:00,"j'aime commandé sur Cdiscount j'ai jamais de problème, le site est très bien fait et les tarif sont raisonnable.",Negative,Customer Service,1,"j'aime commandé sur Cdiscount j'ai… j'aime commandé sur Cdiscount j'ai jamais de problème, le site est très bien fait et les tarif sont raisonnable."
32,bonne gestion ,5,2024-06-27 00:00:00+00:00,"bonne gestion 
bon conseils general.
prix abordif 
qualite RAS ",Neutral,Uncategorized,1,"bonne gestion  bonne gestion 
bon conseils general.
prix abordif 
qualite RAS "
33,"Commande payée jamais livrée""",1,2024-06-25 00:00:00+00:00,"J'ai commandé le 23/05 dernier une imprimante photo à 200€ qui devait être livrée au plus tard le 29/05; le 25/06 toujours pas livrée et aucune réponse à mes mails quasi quotidiens! J'étais client de C discount depuis plus de vingt ans, mais quelque chose à changé chez eux, peut-être les difficultés de la maison mère Carrefour...",Negative,Electronics,0,"Commande payée jamais livrée"" J'ai commandé le 23/05 dernier une imprimante photo à 200€ qui devait être livrée au plus tard le 29/05; le 25/06 toujours pas livrée et aucune réponse à mes mails quasi quotidiens! J'étais client de C discount depuis plus de vingt ans, mais quelque chose à changé chez eux, peut-être les difficultés de la maison mère Carrefour..."
34,Cdiscount reprise,1,2024-06-27 00:00:00+00:00,"Mon commentaire concerne, cdiscount reprise, ils m'ont fait une offre de reprise à 115€ pour un téléphone Huawei p40 pro quasi neuf utilisé une semaine après évaluation ils me le reprennent 39€. Une grosse arnaque à fuire !!!! ",Negative,Electronics,0,"Cdiscount reprise Mon commentaire concerne, cdiscount reprise, ils m'ont fait une offre de reprise à 115€ pour un téléphone Huawei p40 pro quasi neuf utilisé une semaine après évaluation ils me le reprennent 39€. Une grosse arnaque à fuire !!!! "
35,Le site a bien changé depuis,4,2024-06-01 00:00:00+00:00,"Le site a bien changé depuis quelque temps maintenant, car avant, ce n’était pas très sérieux. Mais les prix restent à aligner avec Amazon, par exemple, et il faudrait plus de choix. Si cela est possible, ce sera mon site marchand préféré.",Negative,Marketplace,1,"Le site a bien changé depuis Le site a bien changé depuis quelque temps maintenant, car avant, ce n’était pas très sérieux. Mais les prix restent à aligner avec Amazon, par exemple, et il faudrait plus de choix. Si cela est possible, ce sera mon site marchand préféré."
36,Service client catastrophique,1,2024-06-17 00:00:00+00:00,"J'ai acheté un produit il y'a plus de 3 mois qui est tombé en panne au bout de 3 utilisations. Depuis c'est la croix et la bannière pour le faire réparer. Service client de très mauvais qualité incapable de mettre la pression au vendeur. Je ne commanderais plus sur leur site.
Le vendeur c'est Cdiscount en tous cas vous êtes la plateforme de vente donc vous êtes responsable. Autrement j'irais directement dans un magasin si je le voulais.",Negative,Customer Service,0,"Service client catastrophique J'ai acheté un produit il y'a plus de 3 mois qui est tombé en panne au bout de 3 utilisations. Depuis c'est la croix et la bannière pour le faire réparer. Service client de très mauvais qualité incapable de mettre la pression au vendeur. Je ne commanderais plus sur leur site.
Le vendeur c'est Cdiscount en tous cas vous êtes la plateforme de vente donc vous êtes responsable. Autrement j'irais directement dans un magasin si je le voulais."
37,Bonjour Damien,3,2024-06-18 00:00:00+00:00,"Bonjour Damien, 

Je vous remercie pour votre action, cela faisait 4 mois que ça n'avançait pas. Grâce à vous, j'ai été remboursée 3 jours plus tard.
Encore un grand merci ",Negative,Uncategorized,0,"Bonjour Damien Bonjour Damien, 

Je vous remercie pour votre action, cela faisait 4 mois que ça n'avançait pas. Grâce à vous, j'ai été remboursée 3 jours plus tard.
Encore un grand merci "
38,service client non compétent,1,2024-06-26 00:00:00+00:00,"Bonjour, j'essaie de faire respecter la réglementation en terme de prise en charge suite à mon achat de telephone, en tant que client Cdiscount.
Le fournisseur référencé ne veut pas prendre en charge les frais de retour et Cdiscount m'informe à chaque appel qu'il laisse 72h, 48h, etc à celui pour répondre.
Résultat : On prend un abonnement et on paie pour un service inexistant, une plateforme à l'étranger qui lit en boucle des textes et le client que je suis, est arnaqué !!! Et bien sur, aucune trace écrite des échanges, tout se fait par téléphone et le service refuse de communiquer par écrit.
Aucune possibilité de se retourner contre le vendeur ",Neutral,Electronics,0,"service client non compétent Bonjour, j'essaie de faire respecter la réglementation en terme de prise en charge suite à mon achat de telephone, en tant que client Cdiscount.
Le fournisseur référencé ne veut pas prendre en charge les frais de retour et Cdiscount m'informe à chaque appel qu'il laisse 72h, 48h, etc à celui pour répondre.
Résultat : On prend un abonnement et on paie pour un service inexistant, une plateforme à l'étranger qui lit en boucle des textes et le client que je suis, est arnaqué !!! Et bien sur, aucune trace écrite des échanges, tout se fait par téléphone et le service refuse de communiquer par écrit.
Aucune possibilité de se retourner contre le vendeur "
39,Tarif MONTRE SEIKO de 220€ à 330€ en 24h,1,2024-06-10 00:00:00+00:00,"Commande annulée par le marchand maŕketplace soit disant pour rupture de stock. Le lendemain, ce même marchand dit que le produit est de nouveau disponible, il passe de 220€ à 330€. Service client incapable, peu joignable (Messenger). Depuis je tente de supprimer mon compte. 9 mails pour me dire qu'une commande est en cours (annulée!) Donc impossible. Pourquoi un délai de rétractation sûr une commande annulée?! Des incompétents. AMAZON est tranquille. ",Negative,Customer Service,0,"Tarif MONTRE SEIKO de 220€ à 330€ en 24h Commande annulée par le marchand maŕketplace soit disant pour rupture de stock. Le lendemain, ce même marchand dit que le produit est de nouveau disponible, il passe de 220€ à 330€. Service client incapable, peu joignable (Messenger). Depuis je tente de supprimer mon compte. 9 mails pour me dire qu'une commande est en cours (annulée!) Donc impossible. Pourquoi un délai de rétractation sûr une commande annulée?! Des incompétents. AMAZON est tranquille. "
40,Choix de produits intéressant mais le…,2,2024-06-17 00:00:00+00:00,"Choix de produits intéressant mais le SAV laisse beaucoup à désirer.
Des formules de politesse apprises par cœur mais pas de vrai traitement des problèmes : on souhaite un vrai SAV réactif et pertinent.",Negative,Customer Service,0,"Choix de produits intéressant mais le… Choix de produits intéressant mais le SAV laisse beaucoup à désirer.
Des formules de politesse apprises par cœur mais pas de vrai traitement des problèmes : on souhaite un vrai SAV réactif et pertinent."
41,Remerciement ,5,2024-06-22 00:00:00+00:00,"Je remercie le service client pour être intervenu pour mon remboursement en intégralité, chose que j'avais essayé d'obtenir avec le vendeur Time3 qui trouvait toujours un prétexte pour ne pas rembourser - Dommage d'avoir connu cette situation car je voulais faire d'autres achats mais après cette expérience, je préfère aller faire mes achats ailleurs",Negative,Customer Service,1,"Remerciement  Je remercie le service client pour être intervenu pour mon remboursement en intégralité, chose que j'avais essayé d'obtenir avec le vendeur Time3 qui trouvait toujours un prétexte pour ne pas rembourser - Dommage d'avoir connu cette situation car je voulais faire d'autres achats mais après cette expérience, je préfère aller faire mes achats ailleurs"
42,ARNAQUE SOLDES 2024,1,2024-06-26 00:00:00+00:00,J'avais repéré une tondeuse à gazon la semaine dernière à  269€. Je la mets sur ma liste d'envie et ce matin elle était soldée à 229€. Je décide de l'acheter mais au moment de valider le paiement j'ai un appel téléphonique. Je reprends donc monbpaiement mais surprise...Le prix est passé à plus de 400€ soit presque le double du prix avant solde ! Arnaque 😡😡😡😡,Negative,Uncategorized,0,ARNAQUE SOLDES 2024 J'avais repéré une tondeuse à gazon la semaine dernière à  269€. Je la mets sur ma liste d'envie et ce matin elle était soldée à 229€. Je décide de l'acheter mais au moment de valider le paiement j'ai un appel téléphonique. Je reprends donc monbpaiement mais surprise...Le prix est passé à plus de 400€ soit presque le double du prix avant solde ! Arnaque 😡😡😡😡
43,J'ai passé commande auprès du vendeur…,1,2024-06-26 00:00:00+00:00,"J'ai passé commande auprès du vendeur Tech. fr . Un téléphone neuf en aout 2023 donc toujours sous garantie. (puisque nous sommes en mai 2024)
Après l'avoir contacté suite à un défaut, ce vendeur me propose de le racheter à hauteur de 60 % de sa valeur. ( non respect des droits commerciaux puisque sous garantie)
J'ai mis le service cdiscount dans la boucle et le problème n'est toujours pas résolu . On tourne en rond et c'est toujours à moi de justifier mes différentes actions  et le vendeur malhonnête lui est tranquille.
( J'ai fait le retour colis dans un point relais pour être sûr qu'il aille le chercher et ne fasse pas celui qui n'a jamais reçu le colis mais ce monsieur ne peut pas aller le chercher) Voilà ou j'en suis pour le moment. Je n'ai plus mon téléphone et je ne suis pas remboursé. 
Dorénavant mes commandes se feront toutes chez l'homologue américain qui règle beaucoup plus vite tout ses problèmes. 
",Negative,Electronics,0,"J'ai passé commande auprès du vendeur… J'ai passé commande auprès du vendeur Tech. fr . Un téléphone neuf en aout 2023 donc toujours sous garantie. (puisque nous sommes en mai 2024)
Après l'avoir contacté suite à un défaut, ce vendeur me propose de le racheter à hauteur de 60 % de sa valeur. ( non respect des droits commerciaux puisque sous garantie)
J'ai mis le service cdiscount dans la boucle et le problème n'est toujours pas résolu . On tourne en rond et c'est toujours à moi de justifier mes différentes actions  et le vendeur malhonnête lui est tranquille.
( J'ai fait le retour colis dans un point relais pour être sûr qu'il aille le chercher et ne fasse pas celui qui n'a jamais reçu le colis mais ce monsieur ne peut pas aller le chercher) Voilà ou j'en suis pour le moment. Je n'ai plus mon téléphone et je ne suis pas remboursé. 
Dorénavant mes commandes se feront toutes chez l'homologue américain qui règle beaucoup plus vite tout ses problèmes. 
"
44,Mobile Samsung reconditionné en panne,1,2024-06-19 00:00:00+00:00,"J ai acheté en septembre dernier un mobile samsung Galaxy a40 reconditionné,le téléphone ne s'allume plus ou beugue. Après avoir pris contact avec le sav, j'apprends que le téléphone n'était garanti que six mois !une belle arnaque sans compter que l'on me propose de le retourner à mes frais pour un éventuel devis de réparation..personne n'a pris la peine de me contacter par téléphone !!!. Cdiscount c'est terminé ! Site à fuir.
Jlf",Negative,Electronics,0,"Mobile Samsung reconditionné en panne J ai acheté en septembre dernier un mobile samsung Galaxy a40 reconditionné,le téléphone ne s'allume plus ou beugue. Après avoir pris contact avec le sav, j'apprends que le téléphone n'était garanti que six mois !une belle arnaque sans compter que l'on me propose de le retourner à mes frais pour un éventuel devis de réparation..personne n'a pris la peine de me contacter par téléphone !!!. Cdiscount c'est terminé ! Site à fuir.
Jlf"
